dataset,penalty,n_vertex,statistic,p_value
data-1,netCLG,0,10.0,0.3125
data-1,netCLG,1,15.0,0.03125
data-1,netCLG,2,15.0,0.03125
data-1,penalty1,0,44.0,0.052734375
data-1,penalty1,1,55.0,0.0009765625
data-1,penalty1,2,45.0,0.0419921875
data-1,penalty1,3,40.0,0.1162109375
data-1,penalty1,4,48.0,0.0185546875
data-1,penalty10,0,54.0,0.001953125
data-1,penalty10,1,19.0,0.8125
data-1,penalty10,2,8.0,0.9814453125
data-1,penalty10,3,1.0,0.9990234375
data-1,penalty10,4,13.0,0.9345703125
data-1,penalty5,0,55.0,0.0009765625
data-1,penalty5,1,53.0,0.0029296875
data-1,penalty5,2,20.0,0.7841796875
data-1,penalty5,3,13.0,0.9345703125
data-1,penalty5,4,14.0,0.919921875
