x,y,z
175.5032231327627,463.8500085297634,a
157.759777923633,438.416125730642,a
186.90620278717967,435.4662258639359,a
133.26129427238084,438.8578038515938,a
181.4611406910525,429.7645943610371,a
185.72949169211992,462.7677560440989,a
160.28301357950923,490.8103112495661,a
156.97650236893134,421.058364495949,a
171.38989638595655,455.0677510402565,a
122.1325064536821,439.28597785232034,a
184.6956336008726,434.6821122245333,a
169.7715825867115,413.270732231873,a
182.8803089418689,406.9477622088402,a
194.52476869247195,373.8178515048271,a
130.15478924383058,364.7931276402098,a
127.91706820548193,411.0071336941034,a
208.40396997162176,425.6054115848633,a
174.91212601195932,387.2624451051432,a
162.47463844984523,402.3444059954822,a
165.48744987674104,380.9864484867446,a
106.40683113331386,387.05074057743735,a
139.42359777396956,393.71419326264487,a
155.19088343523097,384.78487057657617,a
162.88280272922668,384.08541059514414,a
161.33478285128723,367.8317644729329,a
156.1750268642551,356.2894383484346,a
128.93171435693296,372.2775531760116,a
152.10594847634553,367.7944313649082,a
136.36482982098318,361.6261494121607,a
190.17291694492096,320.0872670032219,a
202.38393072274224,363.28020385371326,a
200.26375069567007,362.7575641175959,a
189.62251431613072,375.1758353001508,a
198.42961005312483,367.063950736358,a
195.6577911077338,350.5343615621572,a
184.9800995226669,329.0125906739635,a
211.0297062694564,359.38470181165087,a
174.69258269343536,330.5967349467852,a
202.9317309260961,361.1296562137977,a
213.50940941941903,330.9499576872232,a
184.85057503476472,322.60683139760647,a
226.725620911657,326.6332897675305,a
209.45467633574677,322.5774811865176,a
208.64503306767608,331.14025577808513,a
243.53168991997532,351.98921722317334,a
269.1450460979937,327.4984436236582,a
179.77800993139516,303.98093169744647,a
243.31796152312808,288.01103129143667,a
290.2282695342538,292.8494309877312,a
224.9843817445073,335.66356304094626,a
219.68488140937936,278.8820592595928,a
269.30487028763594,301.33976970270555,a
259.3408497212271,332.43693392768284,a
251.35815121982515,289.6075521064395,a
215.3756354590585,276.64712895692503,a
210.0268581464964,261.5436055622972,a
257.6829976612974,302.086690674464,a
266.2737954970177,244.38708717876148,a
238.0031498434424,297.028184859627,a
221.87972460016525,268.6376348037454,a
277.9814383266237,302.0108385034687,a
256.83490255790434,292.3397469266377,a
321.24225874443994,271.4562642272598,a
255.8592043456416,314.9155712955927,a
256.49718886760013,209.8620955076201,a
278.6264220356745,233.3651414294516,a
238.47707038979263,276.3676693158244,a
313.60314679202213,217.9698914170694,a
293.0208515535649,225.2372900837998,a
305.5288350985008,289.41680157253063,a
303.1441763313361,262.43649026676167,a
254.88557358884125,197.3051013755189,a
278.71061913707933,262.18052242381725,a
290.03948008774216,236.3309686487493,a
275.4256608509061,186.14246871788595,a
284.13328609574745,216.14053198502413,a
330.2305517124379,192.01577038806815,a
338.2400094631828,163.28674404358196,a
281.95271120049046,148.37033077545868,a
292.9196716686075,208.38780225410528,a
322.13730027244725,184.18373646449865,a
346.0692921725168,211.8045686783035,a
321.3841792694493,203.29175723166844,a
298.8967103404055,212.51822731083516,a
334.31181197912935,191.5128491513155,a
353.8822974596883,178.46857504367085,a
348.9069658643583,185.73014768367915,a
347.9439791408725,198.4856502293848,a
385.87867796937,164.72302195443058,a
309.53136861028685,183.89744057597076,a
324.0081699356014,186.66153865268117,a
359.7447310409648,173.86992550819087,a
307.358506694517,197.4205222191181,a
342.20444570425906,150.29731149881957,a
351.0888993313845,179.08554899099016,a
321.37662712251773,197.6438369290306,a
379.4916196653939,143.515351279316,a
347.6459135205655,129.4209312887587,a
371.9748343285854,195.56827416570215,a
356.06612355214145,150.00929268155664,a
324.7693983070836,151.81081633379029,a
300.44367300781806,148.27545772264756,a
378.111219502602,139.058899325335,a
343.1661555439914,176.50783117102085,a
320.0734077422079,233.50082840516197,a
303.86351241595884,216.6028400250902,a
302.51204425792434,216.088545651946,a
333.4507528473851,265.6290401528359,a
272.73000740059894,260.06880350724055,a
293.494389339699,221.3301499157752,a
266.52233607924705,246.59041493120185,a
312.45160439410745,230.3565200795066,a
314.23806302314523,247.8338052912222,a
230.2232016911696,306.8081973881152,a
219.08633479687416,343.64135651692584,a
211.05367608745496,344.76555035431466,a
249.9420634698698,325.5839025542206,a
223.54297324226613,333.6795503112826,a
200.7501409217458,323.99080564423764,a
235.0261389418106,304.9973330975355,a
289.8802638601209,311.08948279636445,a
238.9490819200154,302.82151689648856,a
175.7179167396899,309.0637778279082,a
232.2138287870912,280.26973755378754,a
240.99253891058504,315.4865734227834,a
227.6381837646039,328.1056810230057,a
262.91939113160925,276.8511615635075,a
242.61677502314907,277.13950297819355,a
212.4389836285773,282.66392493065075,a
218.0431713503816,304.69765145509115,a
246.86978371781063,288.508753037742,a
247.47616369157595,275.10650702994536,a
276.3625357059672,300.9208697641514,a
281.47971399879384,265.87289784834235,a
222.5437539019194,281.34409169280946,a
262.5303265874101,291.83608658623075,a
263.2859066282233,264.9354197582479,a
220.180240573896,273.5005847057652,a
238.0243488864641,243.4190831503153,a
249.27555187058465,297.60827436902844,a
268.331302090465,297.1382377057703,a
289.4415746539284,281.42004928261565,a
295.09298672641233,278.32835945063755,a
278.2420613718965,258.30735618429526,a
326.7262134575817,246.66975250456136,a
280.713177351866,266.40405467240305,a
312.82517075232977,226.1572045266672,a
274.4488084174182,230.6911914553749,a
314.77443880739764,280.58349513775306,a
278.4044706916534,253.05506855140075,a
281.66073143881573,268.5213698140098,a
292.1628779248615,230.2433005133589,a
289.95518238412063,235.3245995001317,a
300.5595313739831,244.7249823295449,a
263.8747458580088,274.6640580404816,a
232.39220729221407,260.6254470526869,a
283.1295574698066,271.24030109628666,a
304.070894968474,291.871959426902,a
308.0987928100768,274.5187361964004,a
284.8660601373071,258.0230725615704,a
261.6886043354471,327.5003258655425,a
287.31529898201427,274.6910913082527,a
244.9864724110392,298.44902825888454,a
212.05673114003767,336.3548202507706,a
242.47212665045964,293.3095354580724,a
265.64555096970594,308.08532077552087,a
284.7813597617705,316.630210910409,a
273.04258061620163,338.3436551419932,a
242.0359026871159,316.2587616140082,a
225.98729891392293,367.2014944879828,a
257.8662702825919,328.8445914785509,a
211.45574395655015,347.8183469500595,a
218.4634587077162,311.34957955672087,a
291.1981908507975,317.08095826951114,a
261.7738970368448,322.1748309929162,a
372.6309547600226,140.3422152523982,b
415.34529182269125,153.26543453018604,b
299.38645305686543,100.75127976821112,b
365.7836924212031,138.12815029483033,b
403.5363026669797,148.70551879799166,b
344.82972214951,124.40894934929094,b
374.2520251162728,130.03840103576044,b
370.6942199481815,193.30204140177284,b
358.800746739906,113.98516505130108,b
397.5891019164279,181.2223509982843,b
371.7000693991794,151.2384589536959,b
352.56014343996816,144.4395536545245,b
318.5801477880226,180.72832378330983,b
356.8569295230984,135.3994830608597,b
397.0894535755355,190.3495351013874,b
382.7185180198625,110.36565252214422,b
386.49966756040914,185.267065768726,b
426.9776922641752,145.63199214433155,b
381.8085225182142,193.0876317243896,b
399.7596465505255,146.5804898970581,b
444.5365206042632,191.0791194517909,b
434.4546582496071,148.80699151554865,b
398.6143792878318,172.8849820732798,b
430.4586799158756,200.64998543075285,b
412.5140467118969,200.59563895420385,b
401.7326269762471,193.46479566772967,b
427.36875142631527,199.32876075419728,b
413.3735498562777,184.1140470432429,b
438.2680523196136,215.77990937066016,b
444.7091195982535,186.6392174658755,b
418.9366053827859,238.4623304228591,b
480.494870819184,219.3880799292424,b
401.9166355075212,239.57890903199225,b
423.4929219049283,239.50986349343583,b
397.8560130152718,235.9066681479528,b
456.4933479797392,248.6780036461553,b
463.1543453066316,250.38340011032503,b
449.4144413122447,209.2305047266181,b
446.105262327952,229.20877965150052,b
451.9207117811318,229.8882296377141,b
461.2842081853009,193.21962636040297,b
433.6721112224861,245.27282608950216,b
