Domain;Variable Definition;Variable Name;Units;Log Transformed
ID;FIPS code to state and county level;stfips;;
ID;Name of county;county_name;;
ID;State;state;;
ID;Rural-urban continuum code category;cat_rucc;;
Air;Particulate matter under 10 micrometers in aerodynamic diameter (PM10);pm10;micrograms per cubic meter;
Air;Particulate matter under 2.5 micrometers in aerodynamic diameter (PM2.5);pm25;micrograms per cubic meter;
Air;Ozone (O3);O3;parts per billion;
Air;Sulfur dioxide;ln_so2;parts per billion;log-transformed
Air;Nitrogen dioxide (NO2);ln_nox;parts per million;log-transformed
Air;Carbon monoxide (CO);ln_co;parts per million;log-transformed
Air;Ethylene dibromide;a_edb;tons emitted per year;
Air;Formaldehyde;a_formaldehyde;tons emitted per year;
Air;1-1-2-2-tetrachloroethane;a_teca_ln;tons emitted per year;log-transformed
Air;1-1-2-trichloroethane;a_112tca_ln;tons emitted per year;log-transformed
Air;1-2-dibromo-3-chloropropane;a_dbcp_ln;tons emitted per year;log-transformed
Air;1-3-dichloropropene;a_dcl_propene_ln;tons emitted per year;log-transformed
Air;Acrylic acid;a_acrylic_acid_ln;tons emitted per year;log-transformed
Air;Benzidine;a_benzidine_ln;tons emitted per year;log-transformed
Air;Benzyl chloride;a_benzyl_cl_ln;tons emitted per year;log-transformed
Air;Beryllium compounds;a_be_ln;tons emitted per year;log-transformed
Air;bis-2-ethylhexyl phthalate;a_dehp_ln;tons emitted per year;log-transformed
Air;Carbon tetrachloride;a_ccl4_ln;tons emitted per year;log-transformed
Air;Carbonyl sulfide;a_cyls_ln;tons emitted per year;log-transformed
Air;Chlorine;a_cl_ln;tons emitted per year;log-transformed
Air;Chlorobenzene;a_c6h5cl_ln;tons emitted per year;log-transformed
Air;Chloroform;a_chloroform_ln;tons emitted per year;log-transformed
Air;Chloroprene;a_chloroprene_ln;tons emitted per year;log-transformed
Air;Chromium compounds;a_cr_ln;tons emitted per year;log-transformed
Air;Cobalt compounds;a_co_ln;tons emitted per year;log-transformed
Air;Cyanide compounds;a_cn_ln;tons emitted per year;log-transformed
Air;Dibutylphthalate;a_dbp_ln;tons emitted per year;log-transformed
Air;Ethyl chloride;a_etcl_ln;tons emitted per year;log-transformed
Air;Ethylbenzene;a_ebenzine_ln;tons emitted per year;log-transformed
Air;Ethylene dichloride;a_edc_ln;tons emitted per year;log-transformed
Air;Glycol ethers;a_glycol_ethers_ln;tons emitted per year;log-transformed
Air;Hydrazine;a_n2h2_ln;tons emitted per year;log-transformed
Air;Hydrochloric acid;a_hcl_ln;tons emitted per year;log-transformed
Air;Isophorone;a_isophorone_ln;tons emitted per year;log-transformed
Air;Manganese compounds;a_mn_ln;tons emitted per year;log-transformed
Air;Methyl bromide;a_mebr_ln;tons emitted per year;log-transformed
Air;Methylene chloride;a_mecl2_ln;tons emitted per year;log-transformed
Air;Phosphine;a_ph3_ln;tons emitted per year;log-transformed
