,"{'eta_crossover': 10, 'eta_mutation': 30, 'selection_type': 'tourn'}","{'eta_crossover': 10, 'eta_mutation': 30, 'selection_type': 'ran'}","{'eta_crossover': 10, 'eta_mutation': 40, 'selection_type': 'tourn'}","{'eta_crossover': 10, 'eta_mutation': 40, 'selection_type': 'ran'}","{'eta_crossover': 10, 'eta_mutation': 50, 'selection_type': 'tourn'}","{'eta_crossover': 10, 'eta_mutation': 50, 'selection_type': 'ran'}","{'eta_crossover': 15, 'eta_mutation': 30, 'selection_type': 'tourn'}","{'eta_crossover': 15, 'eta_mutation': 30, 'selection_type': 'ran'}","{'eta_crossover': 15, 'eta_mutation': 40, 'selection_type': 'tourn'}","{'eta_crossover': 15, 'eta_mutation': 40, 'selection_type': 'ran'}","{'eta_crossover': 15, 'eta_mutation': 50, 'selection_type': 'tourn'}","{'eta_crossover': 15, 'eta_mutation': 50, 'selection_type': 'ran'}","{'eta_crossover': 20, 'eta_mutation': 30, 'selection_type': 'tourn'}","{'eta_crossover': 20, 'eta_mutation': 30, 'selection_type': 'ran'}","{'eta_crossover': 20, 'eta_mutation': 40, 'selection_type': 'tourn'}","{'eta_crossover': 20, 'eta_mutation': 40, 'selection_type': 'ran'}","{'eta_crossover': 20, 'eta_mutation': 50, 'selection_type': 'tourn'}","{'eta_crossover': 20, 'eta_mutation': 50, 'selection_type': 'ran'}"
0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
4,24.124983022889033,24.094689504734966,24.13094047323095,24.19238747452806,24.267502804781326,24.129123044316785,24.217655693264817,24.124174489354967,24.161963617321845,24.116335996790465,24.330104823397694,24.126080059244742,24.161923487666446,24.226676663293897,24.238061141334303,24.089319731688963,24.139876403856917,24.149503937898334
5,24.042295613343562,24.10150457125237,24.09093020231471,24.138904050222823,24.10261129628992,24.0047372769058,24.230819720284778,24.142432275599106,24.184968481120478,24.165647526428643,24.01552997928721,24.030573906188554,24.23231466782089,24.099720858643824,24.168623534605185,24.10398900421567,24.123742263291273,23.997690653429085
6,24.902084985772504,24.724946837187254,24.318133486720786,25.115617358774056,24.699888420131945,24.89554326220494,25.5194611704195,24.856429982956612,24.486197485080606,24.818978566356247,25.296344275562237,24.193352013938767,24.63693923129119,24.496036295207105,24.888579241420636,24.43049687583115,24.7191280409044,24.408808364250774
7,27.04567789421487,25.74019265243441,27.428513566223014,26.172107993715272,28.11824821471014,26.661360972696144,25.13782220072076,26.353928275773708,26.081013360331575,26.34200608565345,26.676770627571663,26.824131928146105,27.776279562000216,26.6104051025552,26.11228254049377,26.277871872714357,25.244168029567703,26.81193581372681
8,38.452376079767774,38.436453407184985,38.42796438626146,38.444304325728645,38.47511834620452,38.442047928595784,38.54255827100033,38.491213042328035,38.489879886308586,38.43868722589004,38.56986179731965,38.481217291242935,38.45376311924149,38.468426942185914,38.43688357120661,38.419273909926254,38.47334205191526,38.43943214095234
9,38.426009946831535,38.445958698469404,38.382907114291285,38.36436117194465,38.41136554854703,38.3745725903971,38.42650418781162,38.40441941265929,38.54963021488033,38.408840962328654,38.41170826546978,38.3094663671808,38.352020614854,38.45297757755425,38.545614545273324,38.34114747712125,38.52412896262902,38.40646091420301
10,38.688994504904954,39.21556495241506,38.4669413033595,47.03923748583771,38.722279060574984,39.14044013979607,38.64919910803074,39.51282540035606,38.72922781879619,47.03923748583771,38.667727914507516,38.58936723718924,38.66954560184896,38.55660372746781,38.94482548802112,38.95475203835975,38.445389279765536,38.4722576023531
11,39.9886107313097,39.38201614801291,39.89648248371873,39.55548067981885,39.77659653168644,39.87108717394942,39.650907288507426,39.3783552826562,38.93857639406205,39.36405765429166,40.36740367757121,39.41034330769032,47.039409846992434,40.57229203885209,39.780717845306896,40.38402090633434,38.97389818023181,39.710163637609625
12,40.781273449191396,40.7801070797007,40.735427755368015,40.75208282630842,40.734196884926696,40.74177290402398,40.7602779945968,40.79106322788073,40.752920721834485,40.78130669549589,40.827018378626256,40.747779193460076,40.817502875521974,40.92969442479509,40.898790270005776,40.872525516253795,40.78349422960214,40.77897983141722
13,40.88669346841131,40.89263128569564,40.80845374303348,40.80163015896757,40.6996410476369,40.753646974914616,40.91089301359927,40.7288915527519,40.735697202296635,40.78189228893039,40.832487128585235,40.87239463850717,40.81298838631422,40.699284374863765,40.68462785141372,40.70614644635213,40.880674283408446,40.72524659539824
14,41.10611977400713,41.244743139617796,41.42985849481183,41.16587061420449,41.08470868238227,41.1529987917668,41.29166453292243,41.12828801378986,41.279327225257965,41.279148076910346,40.94215767965727,40.787705456989436,40.992121518767405,40.96624968564686,41.25292540512392,40.93606752644755,40.971603404894225,41.88963145179973
15,41.889930104351535,52.10888500735672,41.95786178364643,42.55640404678369,42.11401819434042,42.353853810160444,41.848785495885174,42.360026252289536,42.40398179108409,42.60793792405707,42.26966716964972,41.83807733030116,41.8190228925433,52.10888500735672,41.8728550086468,52.11569767036474,41.59599921659966,41.95849093578749
16,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
17,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
18,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
19,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
20,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
21,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
22,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
23,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
24,23063052.41388385,23122312.97620796,23121760.45074196,23053007.39053099,23051352.08354934,23049243.631543946,23068784.441830736,23072542.164054643,23056509.91669745,23060628.87223752,23067829.527084406,23050710.148060992,23057834.394526865,23057808.234484177,23079153.621983495,23055219.62850299,23050567.208220243,23049598.185835205
25,22444414.861383487,22450157.28091229,22441251.914809965,22463978.50689676,22468490.52837541,22449226.84061676,22424523.65024872,22488946.144241504,22446089.521143403,22456829.893015455,22430968.75102129,22454586.139285352,22450534.75618084,22479892.36959947,22436502.70410322,22427948.013319146,22444807.206108354,22463880.768154282
26,22317168.01629062,22315012.160036307,22330184.769743472,22323419.842899684,22325260.945816886,22303251.47201841,22300178.78881382,22308383.949376613,22307353.515432328,22299761.504070636,22311235.71599576,22316710.824930694,22305285.71001084,22308344.086850002,22308769.37448506,22308393.52603718,22301690.228933796,22294455.798161242
27,22260123.145130526,22281696.322230846,22253927.91375504,22255830.544593364,22246329.101627145,22251803.541088354,22259319.247322563,22264308.37683875,22274664.88970194,22249837.733033344,22240785.72396439,22253065.030981597,22270700.513504516,22254680.75520132,22250259.351401985,22253710.374665957,22250262.435780752,22263755.765452646
28,673974.8564749557,672641.0411765816,673132.4603388583,671391.8689733038,671294.6759223924,671084.6277162273,676841.4508358609,674150.3341901748,673302.4830619157,672067.1165311126,671546.7481088894,674220.2939974304,673282.9280294821,672052.754461261,676147.9042025349,671421.2253854213,674349.0684479913,671406.7641484735
29,657632.1872145985,658880.9900601914,658196.4643286314,658898.0238189776,656119.6336964216,657907.6157834592,658920.457872118,658451.9713214476,657553.9989280454,657911.1129884579,657611.6592531421,658533.6446728684,660086.0517810509,660289.3951073736,657053.3493905182,658336.2196246267,658263.8046301069,659394.7735719137
30,661618.4851603176,663067.337335874,661674.1737178101,662323.6346444201,662038.6820709803,661245.535827963,661843.2128807707,663656.3046600723,660678.217961731,662622.6223716004,661226.9727138694,662363.7408171106,663897.4724281627,662963.8579665786,660717.4837559522,662065.7464040703,662406.7846980399,662548.8377985018
31,661033.8371162743,662417.6251893211,660968.2494879073,661606.0829215009,661173.1315631764,662095.5731833404,661541.7245115541,660718.8679818015,661367.694831537,662706.9577980973,660487.2825067183,661155.1124009631,661776.410681084,662746.0734917017,661173.8313242696,662313.5423599296,660917.7339666638,660863.8893737906
32,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
33,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
34,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
35,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
