,P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4,binaryClass
1670,-1.1847732138010083,-0.07785195898150571,0.6432594319597736,0.4471401717326001,-0.5923043516426788,-0.08882621413061535,-1.2466269637411935,0.09468788492782915,-0.618769100883827,0.5808309189320318,-0.4420557189847578,0.41623482653978106,-0.5918392573115291,-0.1616602158688828,1.2621115514971815,N
13379,1.3326232115024461,-0.4774662508642449,-0.2780869516827943,-0.3674035009187616,0.4922601558805541,-0.2227879137313663,0.7231624635033095,1.3423936261756333,-0.9605463631224326,1.903617826369726,-0.6104222715493752,-0.4365854778346284,-1.350313092221077,0.011594011592801868,-0.6010228567260667,P
10234,1.4439756845883727,-0.665849971788427,-1.5347596107529262,-2.1294105465088373,0.5097093760088025,0.11185299928928735,1.4412601370248002,-0.07631543221050557,-0.7141760859167651,0.06709779245148714,-0.7458482090718457,-7.1983333422907245,1.684949414818864,3.881378265481193,-0.48792418922091363,P
4719,-0.8248922150944924,-0.5057372118913744,1.1807315968715058,1.630884575194024,-0.5510519625129611,0.3475256077266794,-0.7539066677750572,-0.4222032833312064,-0.9129970810601887,0.8651814328599944,-0.7740104962822201,0.40425703032721827,0.11962783559510215,-0.29514526379310047,2.045462172675312,N
7003,-0.7503780265050479,0.04803172062369329,0.10996730552816186,0.9951245143083725,0.4078744516423115,0.9194244414746264,-0.28638738846834133,-0.48474102756188286,-0.5966042614365339,-0.11693835573001093,0.7827798782225759,0.22617419731796373,0.03464343601262271,-0.5044476491834402,0.8036493194557148,N
2831,-2.9918207089534894,-0.4040759552898572,-0.26455706075847274,0.2581704245106471,0.046655160699441534,-0.2578625215422513,0.1821021942130412,-0.8753571097759676,-0.8871287555748084,0.20331646796031064,-0.1919570718219264,0.27021821971053295,0.14547590333164678,1.7510914265388724,1.6473540788035521,N
13014,-0.02503973278369176,-0.7638814832122633,0.21167751622281822,0.10604825107683646,0.39832015722732644,-0.3073482157202522,0.4905126808092251,-0.42838474583258934,-0.3534261826454298,-0.7210424234184548,-0.5449610933333136,0.48907151961199335,-1.5731338404114323,-1.7541014773002,-0.06237432618502744,P
11979,-0.3121300342352902,0.24528867506785995,0.5345859934789827,-0.8410582356905271,0.4156611398314222,0.21814466388330347,1.2371026190440897,-0.18617687999875432,-0.9525851353658795,-1.1011741261187074,0.09426090288671532,0.3820485438650632,-1.4304933010963585,-0.32710094994212324,-0.4139295020052447,P
8610,0.7243210885003262,-0.20184067582690926,-0.49780147678743897,-1.2263497207475964,0.9288704551304323,-1.3582135183812927,0.5361676644264164,-1.4470898174035627,-0.5734351265193707,-0.690476095091153,-0.45824266254515966,0.0034883763728295603,-1.533358417577406,-0.2702320927909523,-0.817442699519478,P
519,-0.4347255253881087,-0.6084295297972264,0.1400759263625114,-0.14198033545213457,0.9573467513249847,-0.05689747481424545,-0.507802509751373,-0.9453609902349727,-0.4960666361948469,-0.507452355493502,-0.554607951987172,0.290225878167554,-0.9914168577875123,-0.047689602985848484,-1.8429914819798254,N
