stfips,pm10,pm25,O3,ln_so2,ln_nox,ln_co,a_edb,a_formaldehyde,a_teca_ln,a_112tca_ln,a_dbcp_ln,a_dcl_propene_ln,a_acrylic_acid_ln,a_benzidine_ln,a_benzyl_cl_ln,a_be_ln,a_dehp_ln,a_cyls_ln,a_cl_ln,a_c6h5cl_ln,a_chloroform_ln,a_chloroprene_ln,a_cr_ln,a_co_ln,a_cn_ln,a_dbp_ln,a_etcl_ln,a_ebenzine_ln,a_edc_ln,a_glycol_ethers_ln,a_n2h2_ln,a_hcl_ln,a_isophorone_ln,a_mn_ln,a_mebr_ln,a_mecl2_ln,a_ph3_ln,a_pcbs_ln,a_procl2_ln,a_quinolin_ln,a_c2hcl3_ln,a_vycl_ln,al_pwn_gm_env_rate_ln,civic_env_rate_ln,ed_env_rate_ln,hc_env_rate_ln,neg_food_rate_ln,pos_food_rate_ln,rec_env_rate_ln,ss_env_rate_ln,ln_fatalities,total_units_ln,SecondaryRoadProportion,CommuteTime,ln_PubTrans,sum_NWIBG,NINDEX_open,Farms_per_acre_ln,Pct_irrigated_acres_ln,Pct_nematode_acres_ln,Pct_manure_acres_ln,Pct_disease_acres_ln,Pct_defoliate_acres_ln,Pct_harvested_acres_ln,Pct_au_ln,fungicide_ln,herbicide_ln,insecticide_ln,std_coal_prim_pop_ln,std_metal_prim_pop_ln,std_nonmetal_prim_pop_ln,std_sandandgravel_prim_pop_ln,std_stone_prim_pop_ln,Facilities_Rate_ln,Pct_BS,Pct_Unemp_total,Pct_Fam_Pov,Pct_Vacant_Housing,Med_HH_Value,ln_HH_Inc,ln_Occs_Room,Pct_RenterOcc,ln_ViolAv,num_CreatClass,DEMO2008,GINI_est,Per_TotPopSS,Per_PSWithSW,D303_Percent_ln,ALLNPDESperKM_ln,CaAve_ln,Kave_ln,NO3Ave,ClAve_ln,SO4Ave_ln,HgAve,AvgOfD3_ave,W_As_ln,W_Ba_ln,W_Cr_ln,W_CN_ln,W_FL_ln,W_NO3_ln,W_NO2_ln,W_SE_ln,W_ENDRIN_ln,W_METHOXYCHLOR_ln,W_DALAPON_ln,W_DEHA_ln,W_SIMAZINE_ln,W_DEHP_ln,W_PICLORAM_ln,W_DINOSEB_ln,W_ATRAZINE_ln,W_BENZOAP_ln,W_PCP_ln,W_EDB_ln,W_XYLENES_ln,W_PDCB_ln,W_111TRICHLORANE_ln,W_TOLUENE_ln,W_ALPHA,Coliform_Proportion_ln,sociod_EQI_2Jan2018_VC,built_EQI_2Jan2018_VC,air_EQI_2Jan2018_VC,land_EQI_2Jan2018_VC,water_EQI_2Jan2018_VC,EQI_cont,EQI
33009,12.36330846,6.621878119,0.042573503,0.303811301,2.23603145,-0.983061226,0.0002146,1.033304704,-5.389185853,-14.63206636,-13.14760037,-9.538162853,-27.26083782,-18.02984262,-15.41828867,-10.12251394,-4.845299868,-10.63576346,-9.562750808,-9.483757506,-2.334235709,-14.40976159,-9.441517892,-15.60556263,-4.648732675,-9.409516757,-7.420982328,-4.139478415,-5.786176471,-24.72316423,-15.45026628,-5.063029013,-15.1559061,-6.905182231,-2.94447681,-1.678922371,-28.96282729,-10.62836661,-7.140162468,-13.53787882,-3.832553676,-7.870791676,-8.625127792,-5.896458149,-5.741724968,-5.295157909,-6.507367611,-5.690606117,-5.888328075,-6.055382252,2.2192035,-5.5152779,0.181056814,21.6,-0.22314355,6.6224842,94.877541,-7.891275883,-4.725110054,-5.324726105,-5.073132992,-8.805124283,-9.439083099,-4.042898655,-9.168540955,7.775531309,7.888909479,6.597623078,-14.28535668,-15.22465656,-15.06716777,-7.900670101,-9.60142919,-7.354665279,19.7,4.2,5.1,31.4,210600.0,10.443251,-1.2039728,29.2,5.170938492,0.25724,63.0,0.438,26.928342,64.615385,2.839245908,2.402960413,-2.797507197,-1.685134384,0.652231036,-1.965409762,-0.077951406,7.67620272,0.0,-5.80914299,-2.525728644,-4.509860006,-2.292634762,-0.248461359,-0.755022584,-2.813410717,-5.11599581,-3.912023005,-2.207274913,-2.525728644,-0.415515444,0.048790164,0.076961041,-1.966112856,-1.272965676,-2.040220829,-2.207274913,-2.995732274,-3.506557897,-0.510825624,-0.653926467,-0.673344553,0.412109651,0.0,0.013755338,-1.332847953,-0.811679661,-0.409870476,-0.760168791,0.934077263,-0.510846734,2
5007,19.71766363,10.82653737,0.041565859,-0.101478762,1.491302581,-1.117312894,0.000509539,2.236570392,-5.515427255,-21.36437195,-12.30959834,-35.23192358,-33.44016411,-15.56882872,-19.39268386,-10.43476885,-4.571025713,-14.72858465,-16.32332356,-11.80956271,-2.403703418,-18.484243,-9.313693936,-20.50670068,-4.234986892,-9.269057303,-7.497457338,-2.887409965,-5.717590004,-24.72316423,-15.01528256,-3.958016623,-30.54979235,-7.038891441,-2.94694208,-1.749490629,-9.769947822,-9.98242975,-7.251861229,-11.45592265,-3.723034001,-16.03372275,-8.752102852,-6.193768501,-7.076342106,-5.754942894,-6.882500648,-6.169723511,-6.810282707,-6.932172298,3.3741686,-4.6909175,0.098273357,20.8,-2.3025851,6.5778222,52.703648,-5.90982914,-2.6634624,-9.109182358,-2.775932074,-7.02974081,-3.039278269,-1.986530542,-8.215176582,4.223909767,9.741890257,5.67546873,-14.28535668,-15.22465656,-12.24606436,-11.5924517,-10.10273998,-8.52326107,18.1,5.3,8.8,12.0,155000.0,11.276532,-0.91629076,29.9,5.947721481,0.25481,30.7,0.438,0.0,93.00106,2.068917422,4.413679182,-1.670407378,-1.429133844,0.688510099,-1.803418681,-0.124904369,11.91199171,4.217923077,-5.80914299,-3.218875825,-4.509860006,-2.292634762,-0.478035801,-4.605170186,-4.605170186,-5.11599581,-3.912023005,-2.207274913,0.076961041,-0.415515444,0.048790164,-0.385662481,-1.966112856,-1.272965676,-2.040220829,-2.207274913,-2.995732274,-3.506557897,-0.510825624,-3.912023005,-0.673344553,-0.562118918,0.0,-1.19428461,-1.028465986,0.933368504,-0.775228143,-0.033018429,0.731563509,0.318690866,3
27021,14.88022282,5.151845486,0.041051737,-0.651507969,1.671850034,-1.040537942,0.000444762,1.53493736,-5.524787946,-15.66933757,-12.64707192,-3.515323743,-8.58338084,-18.02984262,-11.01903968,-10.32066714,-4.831482476,-9.149471907,-6.384033223,-4.272618718,-2.264074767,-21.90224364,-8.694700157,-10.38078574,-4.3481296,-9.485581596,-6.382395834,-2.573382399,-5.841292565,-4.155685092,-15.45026628,-3.218857306,-8.679701255,-6.919971521,-2.34573574,-1.363398946,-9.451377371,-10.36070391,-7.23960909,-13.53787882,-2.77879496,-9.31562744,-6.649089336,-5.55952692,-6.546435356,-5.497833729,-6.522337914,-5.903298855,-5.625278473,-5.685296535,1.7917595,-4.6070137,0.124286343,22.6,-0.22314355,5.334024,90.482414,-7.97081089,-0.536524355,-5.404261112,-5.378639698,-4.844019413,-5.100260258,-3.066034555,-13.44619083,4.268181149,8.90849176,6.308022543,-14.28535668,-15.22465656,-15.06716777,-7.551577177,-15.00117733,-7.957422256,14.5,8.6,9.1,47.2,184900.0,9.4683876,-2.3025851,16.6,5.910318851,0.21117,44.6,0.435,75.846256,0.0,-0.490580968,2.146507687,-1.487558499,-1.390599796,0.829800102,-2.483360548,-0.226086597,6.535760151,12.95765385,-4.828313737,-2.813410717,-4.509860006,-2.292634762,-0.261364764,-0.597837001,-3.912023005,-5.11599581,-1.560647748,-0.673344553,-0.544727175,1.621366483,-0.798507696,1.406096988,-0.616186139,-0.544727175,-1.108662625,-1.560647748,-0.673344553,-0.673344553,-0.510825624,-1.514127733,-1.560647748,-0.562118918,0.62,-4.878420368,-0.127716765,-1.083915353,0.38379097,-0.276213437,1.209783792,-0.184830993,2
29045,20.04480962,10.66700677,0.041268676,-0.369861694,2.154197974,-1.043602609,0.000527359,2.05898854,-5.506132423,-16.20631982,-12.73118884,-35.23192358,-33.44016411,-18.02984262,-10.7313548,-10.44377265,-4.777089229,-15.21262161,-28.70836127,-9.985900607,-2.418687364,-13.24397914,-8.984302299,-12.69195603,-4.08361445,-11.69005799,-7.215728153,-3.678746831,-5.757376308,-7.872384115,-13.45421976,-2.539816344,-10.94880208,-6.950525636,-2.946848628,-1.516591473,-10.62184208,-9.995096892,-7.236915923,-13.24871079,-3.626154684,-14.09064646,-6.676103592,-5.928888798,-6.234270573,-5.737833977,-6.676103592,-6.475432873,-6.927417755,-5.982956409,0.55961579,0.0,0.1621659,24.1,-0.51082563,5.2892385,34.400467,-6.224029064,-0.546098888,-7.849215508,-4.712686539,-7.402293682,-7.966998577,-0.788636923,-11.25267601,7.125772379,11.60282101,7.982558592,-14.28535668,-15.22465656,-8.871288101,-15.42682671,-7.48648846,-7.263890266,10.0,6.1,8.0,19.7,68700.0,7.9412956,-1.6094379,24.0,6.250543118,0.15235,45.5,0.406,1.961059,0.0,2.368566154,3.382971226,-1.233403371,-1.351811955,0.957025095,-2.07199988,0.187715291,10.53514733,0.0,-6.214608098,-2.995732274,-5.80914299,-6.907755279,-0.186329578,-0.653926467,-0.430782916,-5.80914299,-2.207274913,-2.207274913,2.149433913,-2.813410717,-0.597837001,-2.525728644,0.039220713,0.076961041,0.131028262,-4.605170186,-2.207274913,-2.207274913,-0.510825624,-0.653926467,-0.673344553,-0.562118918,0.0,-6.907755279,0.444168091,-0.238733411,-0.267700464,0.042380258,0.844530463,-0.167330533,2
53005,18.5063389,9.836076737,0.042334446,0.159324578,2.307699416,-0.630175132,0.000205517,1.372113374,-5.503031613,-15.72614697,-13.14768119,-3.211655,-21.06020678,-18.02984262,-9.888737379,-10.31871555,-4.850242015,-4.517985621,-3.312938069,-4.24333499,-2.408483254,-12.71964643,-8.067818244,-18.27125409,-3.229280009,-10.61724965,-6.016523673,-2.426839121,-5.862239854,-24.72316423,-10.46034571,-1.160200162,-8.378255655,-6.432241455,-2.218522773,-1.533620966,-8.614374286,-9.149543214,-7.234533181,-13.38244573,-3.055480759,-7.006258343,-8.030500412,-6.421062946,-7.168277264,-5.566274643,-6.755432129,-6.302111149,-6.8478055,-6.478840828,2.2407095,-4.6944971,0.145595324,21.2,0.47000363,7.6355481,54.361629,-6.99793005,2.812972069,-3.865014553,-5.283553123,-2.606497526,-3.819290638,-1.467147231,-15.87883949,12.25277528,11.94025045,12.04120454,-14.28535668,-15.22465656,-15.06716777,-8.980921449,-9.297623781,-7.996014595,16.9,6.3,9.3,7.3,169500.0,11.035502,-0.35667494,30.3,5.955163479,0.26461,35.8,0.415,19.072138,26.82686,-0.594840149,2.406738045,-2.903001882,-1.317916518,0.241311963,-2.086973288,-1.246033764,4.93989574,0.0,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-3.912023005,-4.605170186,-4.605170186,-6.907755279,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-4.605170186,-4.605170186,-4.605170186,-2.302585093,-3.912023005,-4.605170186,-2.659260037,0.0,-5.910707018,-1.045253515,0.619503856,0.532201588,1.077444911,-1.394417882,0.784825563,4
13209,23.17021337,12.90899162,0.045597555,0.69115891,1.012398705,-0.960040435,0.000637658,2.900665862,-5.474210983,-16.20838319,-12.98378318,-35.23192358,-22.98953829,-18.02984262,-9.550772522,-10.04098756,-4.800671965,-10.9666275,-18.55645562,-9.928460719,-2.386319125,-13.28174987,-8.42194147,-10.48167281,-3.964434037,-10.96607479,-11.97176673,-3.303546117,-5.68748643,-6.665051065,-15.43392498,-0.078144056,-9.744440306,-6.930149074,-2.946048621,-1.71343299,-8.99635866,-9.959352681,-7.209711753,-11.53248183,-3.31843856,-11.29927122,-7.73225975,-5.89967823,-7.326794624,-6.81596899,-6.553604603,-6.074031353,-8.425406456,-7.172643661,0.87546879,-5.4368711,0.237414253,23.2,0.0,5.5726261,82.659889,-6.859145641,0.520552516,-4.292595387,-6.15672493,-3.732354164,-5.67715168,-2.478595257,-9.164492607,8.515159458,9.545401494,8.196776702,-14.28535668,-15.22465656,-15.06716777,-8.424496622,-15.00117733,-12.09274387,9.9,4.3,16.4,15.4,80300.0,8.0998583,-2.3025851,28.7,6.801246643,0.14917,29.1,0.454,59.114326,0.0,-0.359749475,1.485019074,-2.582130526,-1.378476909,0.517542497,-0.87469439,-0.212094248,10.64184499,0.606192308,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-3.912023005,-4.605170186,-4.605170186,-6.907755279,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-4.605170186,-4.605170186,-4.605170186,-2.302585093,-3.912023005,-4.605170186,-2.659260037,0.0,-6.199540684,0.610546112,1.613202572,0.173210248,0.113363504,-1.41923821,0.638064146,4
21071,17.43564912,11.66902841,0.044222447,1.336696785,2.22998938,-1.12955821,0.001110787,1.732266215,-5.45740729,-17.15824538,-13.13147123,-8.30560616,-26.01262346,-18.02984262,-10.68692995,-10.00717219,-4.805744083,-13.13432708,-28.70836127,-10.74078499,-2.397180488,-14.21576403,-9.200837316,-12.52454457,-4.736282191,-7.783025289,-8.060978941,-3.907072221,-5.735700189,-12.17883929,-9.870250191,-3.158891461,-8.646679364,-7.003225244,-2.946840966,-1.760802796,-14.26062549,-10.58846816,-6.422400677,-8.866008667,-2.463762139,-10.38848852,-6.971896648,-5.829224586,-6.732666969,-5.157864571,-6.252081394,-6.061026096,-6.575481415,-6.408427238,2.4680996,-3.8239167,0.070897805,23.1,-0.35667494,4.4743991,92.620354,-8.324594498,-2.362238169,-5.75804472,-7.545119286,-9.662879944,-5.454043865,-5.533731461,-6.301190853,4.801627472,6.032026508,3.8563341,-4.053359836,-15.22465656,-15.06716777,-15.42682671,-10.57083279,-8.973377228,7.1,10.0,22.3,15.4,66700.0,9.6513014,-1.6094379,28.0,5.870391369,0.16619,48.1,0.469,5.0011407,94.929006,3.593736712,6.557521237,-2.077986574,-1.475666009,0.762424053,-2.100551583,0.201260114,10.42486389,4.895838171,-6.214608098,-2.813410717,-6.214608098,-3.9633163,-0.446287103,-1.609437912,-2.525728644,-5.80914299,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-4.605170186,-4.605170186,-4.605170186,-0.579818495,-0.916290732,-0.776528789,-0.579818495,0.51,-6.907755279,0.687690377,-0.300419658,0.334849685,-1.47570622,-0.081126615,-0.456084818,2
40143,24.92064559,11.43312767,0.04464482,0.39621943,2.270119725,-1.067948426,0.000286747,1.688805918,-5.528451073,-14.73175985,-13.07258864,-8.13004142,-25.80292972,-12.5474131,-14.16457054,-10.48489029,-4.84116896,-10.74239102,-28.70836127,-11.46757136,-2.421916557,-14.8429559,-9.457938567,-11.67308503,-5.755571337,-11.76023606,-8.728929377,-5.047766559,-5.877156782,-10.33071116,-15.45026628,-6.373257026,-10.3576637,-7.041640274,-2.94679742,-1.773474996,-9.209740549,-11.85288374,-7.26814481,-13.53787882,-4.390409094,-10.80952065,-7.49919939,-5.826533794,-6.816586494,-5.318748474,-6.586508274,-6.134850979,-6.767868519,-6.554571629,4.2253728,-4.3151813,0.278041452,19.1,-0.35667494,8.0884151,49.578915,-6.250528812,0.066851027,-8.875481606,-5.864184856,-5.896556377,-7.75106144,-2.2894454,-10.01302338,5.492238059,9.08947227,7.595202915,-12.99029809,-15.22465656,-11.66696674,-9.337778523,-11.33843341,-7.59331274,19.6,6.0,11.2,9.8,126200.0,12.383026,-0.69314718,37.9,5.607932091,0.27007,37.8,0.478,1.5081206,100.0,2.992031165,3.878409983,-1.343072333,-1.289831502,0.785758618,-1.633082882,-0.030934029,11.42918555,3.115192308,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-3.912023005,-4.605170186,-4.605170186,-6.907755279,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-4.605170186,-4.605170186,-4.605170186,-0.510825624,-0.653926467,-0.673344553,-0.562118918,0.0,-3.738403199,-1.294356704,0.240726277,-0.604479611,-0.344006747,-0.52435565,-0.234095484,2
20149,24.06890059,10.02565522,0.042217442,1.537443921,2.643729862,-0.827642937,0.000241759,1.186198031,-5.534172313,-18.23192083,-13.14750329,-6.35304675,-33.44016411,-15.5103954,-16.28169727,-10.55349418,-4.841210255,-9.679014567,-28.70836127,-7.132357225,-2.422787042,-15.24616027,-9.676242646,-17.94450209,-5.980880754,-14.37375454,-9.140622821,-4.76406357,-5.891918206,-24.72316423,-15.45026628,-5.167702439,-11.81673691,-7.020798512,-2.892689041,-1.789803385,-8.142874811,-11.79936384,-7.26449212,-13.53787882,-4.122010437,-14.12830498,-7.272583485,-5.853499413,-6.219433784,-5.448034286,-6.761757851,-6.196444035,-6.219433784,-6.343047619,1.2237755,-6.3439355,0.159805579,22.6,-1.6094379,6.056345,71.440704,-6.657934666,1.32074964,-6.573338509,-4.512350559,-6.36520052,-3.787384272,-1.38699317,-17.23693085,6.271366432,11.2585246,8.743005179,-14.28535668,-15.22465656,-15.06716777,-9.976330343,-7.415176769,-7.495727062,19.4,2.4,5.3,7.7,138600.0,8.9572525,-1.2039728,19.0,6.213858128,0.20464,26.3,0.42,10.882244,0.0,2.961911244,3.199267572,-0.82547366,-1.342804036,0.94977709,-1.989233267,0.040787914,10.11965732,0.0,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-3.912023005,-4.605170186,-4.605170186,-6.907755279,-4.605170186,-4.605170186,-2.525728644,-2.813410717,-2.995732274,-2.525728644,-3.218875825,-2.525728644,-3.506557897,-4.605170186,-4.605170186,-4.605170186,-2.302585093,-3.912023005,-4.605170186,-2.659260037,0.0,-3.81646881,-0.586329043,-0.338522017,-0.921502352,0.306987464,-1.389418602,-0.809051037,1
13237,25.79288556,13.18145498,0.048497899,0.788535723,1.564081019,-1.061205712,0.000446876,2.498703375,-5.486080396,-17.13742988,-12.81557011,-11.26610137,-21.02023625,-18.02984262,-15.17898193,-10.44507832,-4.819192253,-10.81259503,-9.93562461,-10.85915065,-2.398055139,-14.19136809,-8.926535623,-9.436704207,-4.895121152,-11.87284117,-12.56450002,-4.236667134,-5.687879622,-8.134053433,-15.44281026,-1.029038316,-21.03585691,-7.019268291,-2.945563051,-1.767549356,-8.130910902,-10.89637138,-7.225506197,-12.15281513,-3.678874554,-10.81773556,-8.016695023,-5.473968983,-6.827110767,-6.030779362,-6.436244488,-5.88506794,-6.528617859,-7.0722332,1.686399,-5.1060519,0.187265091,26.7,0.26236427,5.0016551,88.851952,-7.49974966,-1.450557828,-4.933199883,-4.32786274,-4.372958183,-4.629199028,-3.246931314,-15.65147972,5.247681751,8.78317143,6.798386742,-14.28535668,-15.22465656,-15.06716777,-15.42682671,-15.00117733,-7.765380383,12.1,8.1,9.3,32.8,157600.0,9.043932,0.0,20.1,5.996686459,0.21099,33.9,0.51,11.773023,87.173397,-6.907755279,3.029855727,-2.628419571,-1.328000269,0.529721655,-1.27513768,-0.020387275,10.8216023,8.474086357,-6.907755279,-4.605170186,-6.907755279,-6.907755279,-1.514127733,-4.605170186,-4.605170186,-6.907755279,0.009950331,0.698134722,1.499623046,0.722705983,0.048790164,1.406096988,-0.733969175,-0.040821995,0.708035793,-2.207274913,0.009950331,-0.713349888,-0.400477567,-0.653926467,-0.673344553,-0.371063681,0.0,-0.744255147,0.182016358,0.400517911,-0.159481689,-0.175405338,0.957968771,0.233125776,3
