age,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberRealEstateLoansOrLines,SeriousDlqin2yrs
-0.41129366,0.8559911,1.0893749,-0.80389756,1
-0.8490749,-0.6316406,-0.036112983,1.0249897,0
0.96909285,-0.084003,-0.5002628,0.8534141,0
-1.322217,-0.5172618,-0.40420356,-0.51871264,1
0.8125,-0.1495251,1.3495057,2.1749108,1
0.13361195,0.038008645,-1.0942497,-0.57504386,0
1.1586179,-0.042502508,-1.362912,-0.65539324,0
0.5224453,0.73918456,1.3163452,0.05002739,1
0.54540646,-0.6319682,-0.2730458,-0.4122337,0
-0.55904317,1.6681044,-1.7159339,0.1013865,0
1.9250658,-0.4417302,-0.64063203,-0.31155035,0
0.56389755,-0.43181574,1.826888,0.65853345,1
0.74362016,0.006946318,-0.2532347,-0.7669767,1
-1.2839622,-0.25032288,-0.15197125,0.27707863,0
0.09222561,-0.66925436,-0.19440335,-0.6358422,1
0.12277728,0.24897493,0.10518,0.6500703,1
0.79337066,0.97129846,1.009937,-0.59471536,1
0.69137806,0.032695405,-0.8762593,-0.62531435,1
-1.4898479,-0.7772073,-0.41322288,-0.7127402,0
1.3368206,-0.31314272,-1.454977,0.5649309,0
0.85388553,-0.307392,-0.43163574,-0.24629818,0
1.7925457,-0.5648499,-0.21407914,-0.7936155,0
-1.6580362,-0.40117884,-0.7186419,-0.79777575,1
0.02626814,-0.62713027,-0.8685388,-0.705747,1
-0.17280628,-0.657467,0.17316511,-0.036074854,0
1.3041601,2.9589021,-0.53416955,0.16632749,1
0.16823027,0.10267848,0.9210732,-0.9991763,1
0.786463,-0.04620511,-0.773312,0.5899489,0
-1.3994575,-0.11474654,-0.32877064,0.032917004,1
-0.6395768,0.37406912,-0.31860173,0.6724376,0
-0.6474595,-0.84100354,-0.28347346,-1.0779226,1
0.13699344,-0.18784568,0.6648078,1.5021138,1
-0.32651192,0.105071105,0.77507293,0.96721333,1
0.1352289,0.29720116,0.28261787,0.56008375,1
-0.9161021,-0.15707716,0.22021191,-0.100183696,1
-0.93635464,-0.20732915,-1.07175,-0.85491854,1
-0.70585275,0.5399887,0.80797875,-0.447397,1
1.1349509,0.1941902,2.7200422,0.9244751,1
-0.69696873,-0.38423374,-0.6542336,-0.8669117,1
1.1417712,-0.2627318,-0.1791414,-0.88588285,0
-0.2806046,0.45878953,1.1913369,0.24980943,0
0.8145853,0.69331926,-1.1766409,-0.63166875,1
1.7520341,0.9539218,0.6359765,1.0564075,1
0.5532736,-0.52466154,-0.058442492,-0.020075727,0
0.6573315,-0.060342968,0.50065696,1.3869761,0
-0.4063331,-0.015770346,0.118112445,0.57712626,1
-1.4625839,-0.29070747,-0.9971884,-0.5905152,0
-1.3033155,-0.03670828,-1.1876111,-1.092357,1
1.1977952,0.092747875,-0.102733225,0.1082567,0
-0.85462236,-0.20892122,-1.0821251,0.8708431,1
-0.39712915,1.1921525,1.0193303,0.809505,0
0.093676865,0.1905558,0.5415188,1.1458714,0
0.87231547,-0.6612259,0.42519605,0.7005121,0
0.20600447,-0.5648229,-0.26705196,-0.9261031,1
-0.29898277,0.41409075,0.05739378,-0.09843815,0
-0.63298523,0.31932878,0.20762587,-0.785393,1
-0.93039465,-0.7422821,-0.4697756,-0.61430883,0
1.2202799,0.88345784,3.143371,1.6674507,1
0.66176116,-0.4240536,1.3504097,-0.32950282,0
-2.0085535,-0.4187551,-1.3710215,-0.8499052,1
-0.77503955,-0.5501582,-1.0815681,-0.7417065,1
-1.2666163,-0.3046411,-1.2448028,-0.77568746,0
-2.164722,0.7529509,0.78080857,-0.73064625,1
0.20146489,-0.54323506,0.28953516,-0.2197771,1
0.8365995,0.012944505,-0.3678667,-0.29717746,0
1.4782059,-0.05890453,-1.109834,-0.158652,0
-1.4003122,-0.56762755,-1.5367343,-0.7781934,1
-0.3461391,-0.4584208,0.90359086,0.5268357,1
-0.2320505,0.6714288,1.3182521,1.1969038,0
0.54861826,-0.30510098,-0.27648574,0.9743781,0
-1.2123898,-0.5393508,-0.9463153,1.3267794,1
-1.5520408,-0.748302,-0.2602998,-0.699177,1
2.7290113,-0.4155765,0.0934945,-0.841386,0
-0.57550657,0.12267399,1.9079732,0.7298254,1
1.1960485,0.24489287,-0.07921097,0.54688734,0
-0.21830821,-0.96549726,-0.06032276,0.48330435,0
-1.7470385,-0.36529803,0.15805109,-1.07104,1
1.638138,-0.48897395,1.4110023,-0.8234116,0
-0.44247413,0.6806119,-0.9121002,-1.1248014,0
-0.8123483,-0.32100898,1.1602354,0.7578273,1
0.26389664,1.6867263,2.3527997,2.2642872,0
-0.003878869,0.63535327,-0.09828606,0.6575011,0
2.6570723,-0.05070746,0.23995423,0.03600863,0
0.14949858,0.6236278,2.2049453,0.71933967,1
0.9761811,-0.13759716,1.1387749,1.3800821,1
0.46331328,-0.13800892,-0.8151446,-0.16347359,0
-0.011309467,0.87222075,-0.79597485,0.85115516,1
0.25172752,-0.8392654,-0.23340759,0.18688795,0
-0.11176015,0.41088322,1.0853163,0.0971079,0
1.2021188,0.3285803,4.2761374,-0.2877333,0
-0.036573157,0.05436653,0.0049265847,-0.2814824,1
-1.6184999,-0.44368365,0.23949985,-1.028512,1
1.4165814,-0.3648111,-0.9451394,-1.2873222,0
0.7700686,0.8574032,3.2006354,-0.40913156,0
0.2973012,6.7849455,-0.9130768,-0.80580854,0
1.5702708,-1.0092273,-0.32661638,-0.23888384,0
-0.40739936,0.6239942,0.4616491,0.31299314,0
0.11034115,3.1640973,-0.5270366,-0.4753752,0
-1.5464319,-0.19374092,-0.4401391,-0.08245328,1
-0.66373533,-0.323763,-0.49732572,0.05104993,0
0.19980149,-0.105724126,-0.66717917,-0.53126967,1
-1.4015182,-0.16742194,0.26805574,-0.5203517,1
2.483513,-1.1247897,-0.06948912,-0.5388688,0
0.26774335,-0.37657928,-0.604491,-0.9123688,1
0.18981293,1.0942478,-0.12884447,0.88116693,0
-0.23111674,-0.8160084,-0.7162095,0.7613153,0
-1.5585965,-0.74297565,-0.5134271,-0.94710505,0
-0.41154948,-0.47607952,-0.4247281,0.104484215,0
-0.06810835,-0.30294576,0.24506898,-0.909969,0
1.0892626,-0.23604932,-0.08417568,0.15433747,0
0.5422148,-0.43948832,-0.12178473,1.1747781,1
-1.2301971,-0.4207259,0.88593465,1.548477,1
-0.016448416,1.2468665,-0.71247584,0.7473992,0
0.49046263,-0.46658254,-0.28981167,0.606261,0
0.20251608,0.14465734,-0.7980423,-0.019403256,1
-0.18935274,-0.087866716,1.8089101,-0.083434954,0
0.18620487,0.41937104,-0.36790356,0.755118,0
-0.34346125,-0.80108,0.16779286,0.39237717,0
-0.3275613,-0.47333825,-2.0131423,-0.8655281,0
1.6700857,1.3886169,2.2458494,2.275522,0
0.6016154,-0.45107603,2.0129948,1.4657389,1
-1.2712297,0.35089928,1.2385862,-0.5455644,0
1.1314344,-0.71726096,0.030917682,-0.32314885,0
0.915691,-0.025701057,0.2136327,-0.402318,0
-0.40040177,0.549091,-0.17243823,-0.717433,0
1.2387477,-0.48509064,-0.41158232,-0.09081242,0
0.55873275,0.2299707,-0.36272523,-0.8345257,0
0.36258736,1.0208069,-0.4188463,0.7715773,0
0.95555997,0.18885523,2.3739724,-0.79811627,1
-1.4822501,-0.012261584,-1.0995381,-0.13578254,1
0.9039923,-0.32726175,-0.07963729,-1.2338786,1
-0.5479303,-0.43762794,-0.11400749,0.5674329,1
-1.0889038,-0.11014588,1.3009931,0.9836841,1
2.0152562,-0.070394546,1.1777594,-0.95132947,0
-0.88327885,0.28313255,0.37870774,0.7586494,1
-0.61814016,0.024194665,1.1016346,0.65618944,1
-1.7647632,-0.8046168,-1.2686584,-0.6713717,1
-0.16024885,-1.2398266,-0.6576271,-0.16354465,0
0.9043433,0.58838075,-0.2465243,-0.15358843,0
0.9373793,0.1669234,0.33192414,0.16447034,0
