fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
-1.0591515,1.0622677,-1.4440538,-0.7466104,-0.24139282,0.14028339,-0.45884258,-0.34633142,1.7636626,-0.751547,-0.59028083,True
-1.492438,-1.1282533,-0.52577066,-1.4156051,0.04864323,1.3686242,-0.38705593,-1.1045184,1.4517505,-0.61076146,0.65872806,False
-0.7882992,-0.7336789,0.23213167,-1.0566396,-0.8768815,1.1604285,0.28873166,-0.90759057,0.6408572,-1.7788677,0.5090465,False
-0.7004287,0.46923542,-0.7162667,-0.5961281,0.28325817,-0.7320827,-1.5135059,0.58036405,1.4698865,1.8318275,0.8737852,False
0.33618766,-1.2685583,-0.5890103,-0.895748,-0.57528543,0.67108184,0.6468067,-1.3412188,1.0373693,-1.3824224,0.41624105,True
-0.38358796,-0.43544894,-0.35239705,0.44201577,-0.6211758,-0.22985342,0.2621591,-1.3239661,-1.689857,-0.2528597,0.9263333,True
-1.0601091,0.47129145,-0.6925681,0.102000706,0.569118,0.7575801,1.0231628,0.2682253,-0.7955893,0.6431972,-1.053921,False
-0.5514387,0.11127585,-0.5155564,-0.1054322,-0.36516762,1.6456256,0.37582433,-0.6396139,0.7978141,-0.42929482,0.061217457,True
3.1101298,-0.62946457,1.6895723,-0.39066952,1.105044,1.5885183,-0.35379305,1.9517574,0.54394597,1.6517386,0.045256227,True
-0.32211277,-0.05059217,-0.2398359,-0.9206197,-0.9001652,-0.40002146,0.04746811,-0.39482084,0.5403663,-0.09063345,-0.26050264,True
-0.6927346,-0.5514934,-0.50651515,-0.81449085,-0.26771832,-0.02856835,-0.55027807,-0.5711763,-1.6719736,-0.78227437,0.93879294,True
0.03050828,-0.76430357,-0.75308514,-1.5574361,-0.39113006,-0.28180844,0.29848355,-0.37866086,-1.4474435,-0.53911614,-1.8252678,False
-0.76873535,0.44277298,-2.0980911,-1.4112585,0.19793743,-0.1775288,-0.6209394,-0.045704022,0.39319766,-0.036845893,-1.1239913,False
