date,period,nswprice,nswdemand,vicdemand,transfer,class
-0.098281756,-1.1696107,-0.3359752,-0.98403734,-1.3773997,0.038869366,DOWN
-1.3157072,1.5908864,0.56853676,-0.21061411,-0.06528889,-0.679955,UP
1.1693374,-0.5111424,0.5368487,0.84941727,-0.566693,2.1985252,UP
1.2199367,1.5574857,0.46499783,0.09884346,-0.86738294,-0.14842108,UP
-0.36424026,0.69542646,0.39146447,0.8987663,1.8723835,-1.0454727,UP
-1.6397408,1.4646778,-0.64378965,0.2279766,0.040318165,-0.53340775,DOWN
1.0266178,-1.7243987,-0.7205593,-0.50456244,-0.4416718,1.5091377,DOWN
-0.14462918,0.7085899,-0.47385383,0.8894472,1.2981298,-1.6651773,UP
-1.3016763,-1.6390036,-0.05134491,0.48955742,-0.04353412,-0.7210775,DOWN
1.3132569,-0.82901204,-0.49412817,0.07043781,0.64052117,-0.026208714,DOWN
1.228544,0.43349218,1.8558143,0.8459072,0.97836137,-1.0270816,UP
-0.028184846,1.6292963,0.094117805,-0.19928077,-0.017614307,-0.66332537,UP
-1.4435424,-0.17001742,2.3512459,0.7331053,-0.07644135,-0.61156154,UP
-1.2327918,-0.35099173,0.095376685,-0.9451659,0.06258342,-0.58082056,UP
-1.5970854,-0.1280736,0.1964347,-0.65785563,-0.09970277,-0.4824913,UP
-0.09373932,1.8637605,-0.20101592,0.582924,0.18274358,-0.13419327,UP
-1.6650076,0.82814866,-0.2544039,2.0793986,-0.13325621,-0.46264476,DOWN
1.072812,-0.21660298,-0.4875288,-0.31390232,-1.7028996,2.5015843,UP
-1.4331585,1.0356412,0.35942113,0.53993845,-0.1263453,-0.598472,UP
1.4084299,-1.5691048,0.37067026,-1.2001106,-0.27002227,-2.163134,UP
-1.5732502,-1.90621,0.48107073,0.30662256,-0.055929445,-0.4907834,UP
-0.045094997,-0.025733814,-0.029516961,1.5012021,0.05249848,0.38169628,UP
-0.31791413,-0.90370893,-0.34352925,0.06737715,-0.53452754,0.5367657,UP
-1.2790313,-0.035733692,0.36540452,1.2427752,0.13712971,-0.64506966,UP
-0.28461158,-1.6017169,-0.69938034,-1.5832566,-1.3269786,-0.3250664,DOWN
-0.16353904,-1.0311837,-0.8531844,-1.4535984,-2.2778127,0.30278295,DOWN
1.5538962,0.5802511,0.44971183,0.19580396,0.74673927,-0.17811188,UP
-0.29103673,-0.68593657,-0.8852846,-1.1179149,-2.086174,1.2799709,DOWN
-0.24917999,1.2701048,0.09128682,0.050935343,-0.21313505,-0.49652517,UP
1.320945,1.4667032,-0.79667723,-0.40072358,-0.7427586,1.2936475,DOWN
-0.24429375,-1.4786289,-0.1655967,-1.7721237,0.058005523,-0.59131,DOWN
-0.10887237,0.004849747,-0.12751658,0.39734736,-0.26794574,-0.4601578,DOWN
-0.32773,1.0533395,-0.77122164,-0.021572193,0.7469338,0.14317583,DOWN
-1.3745728,0.13385461,0.22657579,0.3873771,-0.2209494,-0.4935536,DOWN
-1.5613456,-0.7699845,-0.6831025,-1.7174554,0.16723055,-0.5281133,DOWN
-1.1133136,0.3534719,0.63604254,0.65935135,-0.020090638,-0.66195756,UP
1.1046674,-1.2338171,-0.42953187,-1.2433616,-0.6652603,0.79401,DOWN
1.3679733,-0.15323505,0.26405093,1.3432586,2.0237617,-0.81958485,DOWN
-1.330979,-0.41038567,0.613201,1.7183496,-0.41826746,-0.3653573,DOWN
-0.24620038,0.6110865,-0.22405544,-0.5436958,-0.015425928,-0.41077152,UP
-1.4054306,0.6121708,-0.35340497,0.094963446,-0.20219454,-0.69797695,DOWN
