f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,binaryClass
-0.64535755,0.009494215,-0.2871223,0.053939313,0.1819044,-0.13330933,-0.4750909,-0.9883894,-0.45231825,-0.29230994,1.7001898,-0.35747302,-0.29119974,-0.33782902,-0.16340995,-0.36002684,-0.28923172,-0.42787665,P
1.329006,-0.3426628,-0.27955282,-0.19943628,-0.22169282,-0.3763593,-0.21076742,1.0581374,1.3120859,0.5012173,0.8033893,-0.53815633,-0.53816855,-0.48715353,-0.23524979,-0.19096059,-0.109272026,-0.20533043,N
0.5428893,0.59391385,-0.05764535,-0.10932261,0.1039104,-0.16729581,-0.8623305,-0.2213406,1.5314071,-0.60674095,-0.2625019,2.715256,-0.28598905,-0.5895618,-0.34620088,-0.1880984,-0.24241005,-0.07198869,N
-0.3208279,2.1678228,-0.5204302,0.02542767,-0.5601625,3.1457593,-0.2949477,-0.58647925,-0.51683664,-0.83316505,-0.35570246,-0.49311838,3.277273,2.857019,-0.5474211,-0.43919536,-0.23302,-0.067376,N
-0.60816765,-0.71024346,-0.5001118,-0.3659665,-0.2684976,-0.23329268,-0.7519891,-0.548847,-0.67970395,1.6971351,-0.11715004,-0.23355009,-0.17768285,-0.4606156,0.068484664,-0.51435727,-0.6495234,0.046348646,P
0.16003126,-0.17310962,-0.6853863,-0.24136512,-0.5028118,-0.24483219,-0.42989987,-0.5374264,-0.81886876,1.4390621,2.1288373,-0.49967164,-0.19870529,-0.17325519,-0.10497902,-0.17904559,0.02499722,-0.11630314,P
-0.3142445,0.41171527,2.6666276,-0.039427146,-0.4094624,-0.5900023,-0.55637175,-0.34989208,-0.58260643,0.16149324,1.7718712,-0.42955467,0.017437637,-0.39568827,-0.48331273,-0.0071855783,6.236294,0.88042545,N
-0.2555837,-0.49989086,-0.64543927,-0.11489946,-0.17761172,-0.5107672,-0.50545424,-0.058478713,2.4256892,-0.49314174,-0.46140316,-0.5313033,-0.090616,-0.25877136,-0.7014986,-0.3252406,-0.30211326,-0.24691302,P
0.021640599,-0.8498946,-0.23085979,-0.8693578,-0.021384284,-0.21014458,-0.41463643,-0.534648,1.2546232,1.0224234,-0.7059268,-0.6351215,-0.11597714,-0.29450557,-0.2482011,-0.24207276,0.15210617,-0.56872654,P
0.021653965,-0.82725394,-0.25291038,-0.014203459,-0.26706117,-0.46146613,-0.46798775,1.3639857,0.8538907,-0.8245221,-0.20032406,-0.581667,-0.28933778,-0.5259423,-0.31472895,-0.16921955,-0.1617341,-0.04010433,P
-1.1739724,-0.42659456,-0.34957296,-0.728519,0.069343224,-0.32468897,-0.8369828,-0.06607723,-0.52864724,-0.48665822,1.6707808,-0.5446564,-0.305963,-0.5192021,-0.33647406,-0.32094756,-0.11183462,-0.44202542,P
-0.89010787,0.0778206,2.9806106,-0.48352504,-0.26266408,-0.53972757,-0.67196256,-0.6318556,1.3983248,-0.533268,-0.26496902,-0.46789718,-0.008157104,-0.021904409,-0.23250297,2.8618233,5.167105,-0.25395125,N
0.3789524,1.5831883,-0.37741834,-0.46960765,-0.24089713,-0.23760854,-0.23044693,-1.2413541,2.1688056,-0.10806064,-0.6286776,-0.67554903,0.44921774,3.2857895,-0.36285996,-0.2855109,0.020295024,-0.30570734,N
-0.30453536,-0.70836675,-0.2218254,-0.44262898,-0.2169055,-0.4964654,-0.5100417,1.5955377,-0.33974135,-0.26781827,-0.1787655,0.25782645,0.2949013,-0.42788166,-0.2633156,-0.33578512,-0.21278206,-0.3266362,P
