P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4,binaryClass
0.3301713,-0.5012306,-1.3815262,-1.2852652,-0.58727103,-0.59677136,-1.0104711,-0.45699784,1.9305155,-0.41400835,-0.63484794,-0.47570628,1.2202086,-1.1062467,-0.6248311,P
0.6499152,-0.5865433,0.49003506,0.20952572,0.23221721,0.45928183,-0.13013849,0.99040204,-0.5231282,0.5883502,-0.45707306,1.0224427,-0.12606327,1.4346013,0.57122934,N
-0.62440526,0.55610746,0.33782855,0.58778954,-0.74502546,-0.46437663,-0.639377,-0.2201831,0.05403346,-1.120445,0.22887188,0.83554184,1.4930112,-0.18686178,1.4400558,N
6.9550514,0.15235199,-0.21627964,1.5373225,-3.294794,5.9477506,0.054034293,-1.0766076,-0.74664,0.24196056,-0.22327498,0.18678004,-0.39954942,-0.03528904,0.6356267,N
1.3827138,-0.7104649,-1.6509405,-1.4384277,0.33352798,-0.1608274,0.6177597,0.101149306,1.3002748,0.6017121,-0.8305881,0.24575862,-0.77150226,0.61050385,-1.1919909,P
-0.84445655,-0.12885743,-0.18128327,-0.011304483,-1.8649403,0.5978612,-0.823511,-0.24682891,1.1863238,-0.35496205,-0.9750242,0.35524595,1.4085647,-1.1946058,0.04101356,P
-0.30907604,1.2641108,0.52454424,1.0434575,-0.18490392,-0.1117215,-0.2757396,-1.4632986,-0.9269618,-0.028468497,0.71245694,-0.15854004,0.09281394,1.4784923,1.2969931,N
-0.3238846,0.3282194,-0.45962465,0.18087444,-0.63887805,0.26206583,-0.78037417,-0.23297003,0.48237437,0.47034627,-0.7809098,0.29409292,0.26762298,-0.8689956,0.6978434,P
-0.40629676,-0.26557532,0.4827735,-0.149701,-0.15060583,-0.38139427,-0.6294182,-0.08163762,-0.8255334,-0.5766615,-0.058458865,0.25843072,-0.050166845,-1.2391584,1.2360584,P
-0.80495656,-0.77992415,-0.3562125,-0.95078087,0.9348379,-0.7962091,0.8947478,-1.0400176,0.02177754,-0.8573851,-0.2330419,0.23075053,-0.30640563,-0.89717174,0.38048828,P
2.9649186,-0.3005251,-1.1992965,0.9975599,-2.7308881,-0.30712983,-2.677063,14.246924,9.462491,2.7310672,-0.8233899,-0.71240246,2.1479006,-0.8660123,-1.5166322,P
-1.7159045,-0.3788712,0.22168672,1.1187165,-0.35752577,0.32493183,-0.533637,0.55854356,-0.34589612,0.13179216,-0.69893587,0.19343959,1.8628765,-0.16560231,-0.85564387,N
-0.43204075,2.1315632,1.3118224,1.0916213,-1.0007123,0.50627077,-0.9700688,-0.65173006,-0.27368605,0.06508705,2.1035552,0.18745923,-0.90957844,0.18684438,1.221976,N
0.04387843,1.9585977,0.17758413,0.0521401,-0.07980293,0.67213845,1.3844774,-0.3733366,-0.6852196,-0.13793615,1.6311009,0.43156376,-1.2010993,-1.007053,-0.9868412,P
-0.012674138,-0.73532975,-0.23186076,-0.35270542,1.0598121,-0.33739665,1.4402965,-0.36671776,-1.0099676,0.20688504,0.075098485,0.94658077,-2.0185738,1.0419104,-1.8459129,P
-0.47247326,-0.24867015,-0.2542722,0.2716204,0.37749082,-0.02639401,-0.19761023,0.82181275,-0.2217184,0.2729271,-0.22274394,-4.5287457,-0.11654431,-0.30996707,0.68181777,N
0.40183437,0.56837535,-1.9081126,-0.9386058,-0.03841114,-0.8108946,0.5628056,0.33610255,-0.1666007,0.014921427,0.12202248,-1.9996021,-0.26198667,-0.5466404,-0.11560327,P
-1.6540468,0.67216486,-0.18608835,1.1522216,-0.6609982,0.16783363,-0.9422431,-0.67827076,0.01253216,-0.20583025,-0.010463849,0.013787568,0.72324556,-0.5037931,0.274733,N
0.54244983,0.5609865,-0.7063537,-1.0267828,-0.22749548,-0.6614286,-1.013534,0.5839594,0.48473734,-0.19405873,0.14336258,-0.00077190995,0.40574914,-0.23975566,-0.19628802,P
2.4861965,-0.4162413,0.06144391,-0.92663634,1.2679051,-0.27718425,1.6795514,-1.1165695,-0.48492488,0.33230627,-0.71879816,0.13857214,-0.53294885,1.158717,-1.5555298,N
1.0225127,-1.004384,-0.24727345,-1.1716796,0.73158884,-0.05739054,1.0925069,-0.6070889,-0.6874621,-0.3659069,-0.84582573,-0.06110844,-2.2998571,-0.32011056,1.4158905,P
2.7199502,-0.2989105,0.18353325,-0.72484034,1.0410023,-0.34891826,0.8354341,-1.3435388,-1.6468254,1.3198266,-0.51234996,0.19338435,1.1054465,1.0065935,1.3570668,N
-0.19180971,-0.5143929,1.1631831,2.133154,-0.102303326,0.3887083,-1.1370535,-0.3037347,-1.2426354,-0.036702693,-0.45387366,-0.4126211,-0.14352933,0.73210543,-0.37454358,N
-0.8050736,-0.31181455,0.5795625,0.4532922,0.065831825,0.2973299,0.43805283,0.19052726,-0.44482687,1.9443375,-0.17950614,0.54962415,-1.6664011,0.16848248,0.14435454,P
1.2480421,-0.09344679,0.22415803,0.20311895,0.786205,-0.08177933,-0.22722106,-0.29213,1.1429336,-0.8205116,-1.1999012,0.2247789,-0.3929403,-0.39325956,0.27145746,N
1.3282791,1.0437303,-0.6042635,-0.9616021,-2.2194617,3.9955046,0.5577751,0.5632601,0.8772172,-0.32230252,-0.2607367,0.6863495,-0.105357915,-0.46318793,1.0524249,P
-0.40777907,-0.6797857,-0.5465103,-0.13020352,-0.34053493,0.9497835,-0.057788663,-0.19055012,0.5291989,-0.5607195,-0.079387814,0.40082073,0.55453694,-0.47448698,-0.7665886,P
-0.7259284,0.14203656,0.26065713,0.9703814,-0.5080288,0.6021517,-0.6313826,0.11065666,0.20998563,0.38115835,-0.14465007,0.64622116,0.27113014,-0.24337688,-0.015147328,N
0.49019217,0.040322214,0.11734176,-0.7882437,0.49823415,-0.2539447,1.3684113,-0.716744,-0.7546584,-0.8550174,-0.26280814,0.7139698,-1.8978935,-0.40179774,0.65503705,P
0.52069813,-0.6638771,-0.9099933,-0.7513076,1.186553,-0.4186162,0.9606966,-0.0052936077,-0.09963308,-0.8669162,0.03284672,0.577727,-0.816454,0.019232512,1.1799954,P
-0.84967315,-0.037563562,0.45740086,3.6481183,-0.5060793,0.491762,-1.7092975,-1.4851724,-0.35635784,0.7308749,-0.02737534,1.0060802,-0.76474816,1.0567418,-1.25737,N
-1.2694244,-0.6945733,0.81021875,0.49003482,-0.6700182,0.53162456,-0.94902587,0.71830297,0.18798734,0.11806947,-0.7504518,0.5719361,-0.6723348,-0.46251938,0.8969261,N
-0.31138378,-0.730978,0.2712763,0.813979,-0.22481139,0.07870528,-0.34370404,-0.2629714,-0.808866,0.32260934,-0.6938572,-0.11071691,0.78242815,0.5225642,-0.29672724,N
-1.3535712,-0.22266613,0.7055378,0.16868867,-0.6660402,-0.39551032,-0.124204755,0.30240205,0.10240869,3.9098506,-0.13640642,0.14561164,-1.8003364,-0.3936167,0.46956867,P
0.22344498,-1.0377518,-1.0988472,-1.1809899,0.9588346,-0.019981265,2.005653,-0.76951176,-1.2731841,-0.3863036,-0.5735525,0.022305787,-1.2895932,-0.082953036,0.39360577,P
0.26497865,-0.59212464,-0.27153832,-1.033855,-0.49372572,-0.0378308,1.091381,0.47631863,1.969099,-0.8035143,-0.26004416,0.1869686,-0.41350746,-0.088427246,-1.5782113,P
0.59143406,-0.82198024,0.08459717,0.5739568,0.91568655,-0.3260759,0.07705329,-1.0898541,-0.5882905,0.3863421,0.17724401,0.27767563,-0.90032434,0.012985028,1.8199877,N
0.3548823,0.5288574,-1.106209,-1.1674517,-0.3926354,-0.27205402,-0.027655005,-0.1138352,2.791685,-0.33634388,0.41494995,-0.3828498,-0.25436082,-0.12389872,-0.28958687,P
0.6456412,-0.739298,0.23502076,0.8340727,0.21881819,0.079514235,-0.15226884,-1.025634,-0.61324465,-0.39415923,-0.66137826,0.10785307,-0.79501736,0.01901067,-1.0421059,N
-0.33126286,-0.22121076,-0.051144928,-0.52676404,-1.9915023,0.8861635,-2.3704112,0.45992148,1.7104139,-0.14626372,-0.5066899,0.24038425,0.60723275,-0.34664068,-0.47998884,P
0.2763997,0.05495687,-0.30961818,-0.31397778,0.25848264,-0.3456706,0.32085112,0.059078157,0.8827617,-0.4627649,-0.5790044,-0.52429974,-0.03268513,-1.7106279,0.23509705,P
-1.0263085,-0.14283851,-1.7394261,-1.3623873,1.4598545,0.26410893,2.554091,-0.846347,-1.2141175,-0.89525044,0.29186988,0.034181833,-1.2103219,-1.8486085,-1.6630614,N
0.8266629,-0.10161805,0.9112701,0.7169439,-0.7453618,0.184576,-1.5762028,0.80519736,0.16300403,1.1887611,-0.5124917,0.64916265,1.1906068,0.22178166,-0.24582988,N
-2.0347567,0.017734736,5.7428045,2.0584054,-1.9853513,0.047043324,-1.4399519,-0.34922677,0.28169456,-0.038063228,-0.36654434,0.66037583,0.3058914,-1.3541676,-0.037163675,P
-0.4168335,1.3841692,-0.15300947,-0.25706598,1.5236436,0.32616368,0.42863622,0.52695835,-0.13728803,0.5667108,1.5483984,-0.123628184,0.28116623,0.36842346,0.9192269,N
0.2214196,0.28245518,-0.42609861,-0.55099475,0.76776445,-1.2854644,0.8420547,-0.20221938,-0.35658097,-0.4355132,0.3428166,-0.4751045,-1.1871734,-0.24415272,-0.82707715,P
-1.2419552,-0.14699826,0.97301745,1.3681475,-1.1420436,0.0063390136,-0.44882494,-0.056408405,0.6838855,-0.37115133,-0.12095365,0.3899086,0.26534864,-0.5771791,1.420211,N
-0.12698321,-0.7194203,1.2048397,0.3478773,0.5174257,0.04006487,-0.65162116,-0.26307482,-0.008671309,-0.46039963,0.18754917,0.014363453,0.09474301,0.22583032,0.0595648,P
-0.9101925,-0.2055016,-0.0701122,0.5976055,-0.17704196,-0.32691205,-0.44246358,-0.46032166,-1.049198,-1.3427609,-0.38243976,0.57546186,0.69181514,-0.48345953,-1.5746697,N
-0.802595,1.695254,0.21670057,0.4882291,-0.44872934,0.76046115,-0.3841507,-0.98490083,-0.7182769,-0.4868301,1.2245822,0.2653529,1.1123819,0.41207653,1.2362659,N
-0.4502982,-0.25691393,-0.01651144,0.87972987,-0.05597852,-0.22514823,-0.20339713,-1.059232,-0.16936591,-0.19986229,0.14976847,0.5327543,-0.066070445,-0.4163413,0.38568145,N
4.906408,-0.49309987,-2.1340287,-1.5519208,0.26061913,1.1296995,1.9916894,1.5883391,0.7114722,-0.124433786,-0.3910426,-8.001233,3.1204164,6.3053217,1.5906938,N
-0.28041333,2.7296739,0.7667225,0.9610864,-0.6182567,0.26343417,0.11224714,0.65961665,-0.5267339,-0.3650114,2.3443508,0.3593933,0.42408544,-0.26832622,0.6431986,N
-1.255148,-0.7913954,-0.15676479,1.5432771,-0.16870974,-0.6784558,-0.8000051,-0.93294424,-1.1552567,-0.39954525,-1.0762938,0.2645312,1.0947547,-1.1954116,-0.12073733,N
-0.25299865,-0.4920361,-0.49986923,-0.55907303,0.31529254,-0.034636017,-0.42247248,0.5205226,-0.5311125,-0.58895206,0.47034276,0.4398693,0.19398022,-0.6765192,-0.582795,P
