rent,ftotinc,eldch,yngch,age,occscore,sei,poverty,binaryClass
-0.5659813,-0.0003004521,0.7322004,0.5911309,0.47063333,0.36642307,1.157909,0.9189303,P
-0.7508535,-0.15468933,0.55239147,0.6060747,-1.2634734,-1.0797594,-1.0574497,-0.16920893,N
-0.67533726,-0.32258812,0.6664082,0.52967125,2.0030634,-1.0892138,-1.0563527,-0.8273761,N
1.165884,-0.13504758,0.8140221,0.7020098,-1.5735815,-1.2911727,-0.80663794,-1.2161176,N
-0.6330872,-0.05227198,-1.266889,-1.5100645,0.45465454,1.7835634,2.242053,0.682289,P
-0.491927,-0.1850038,1.0556455,0.8251623,1.9437498,0.42856497,-0.27722454,1.1962149,P
-0.55025965,-0.2300322,-0.3819174,-0.38937807,1.6719289,-0.11391455,-0.68916273,0.6669077,N
-0.88253546,-0.24069342,0.7127296,0.8933207,-0.32565486,0.661384,0.8164675,0.7619383,P
1.3240829,-0.17722905,0.5374062,0.816268,0.10452627,0.24465737,0.78689706,1.4219517,P
-0.92296815,-0.25890392,0.6950555,0.75239223,-0.24101697,1.6459907,1.3033595,0.9557346,P
0.37848613,-0.085653596,0.8918249,0.73849833,-0.42403403,1.4121394,1.6907392,0.46068844,P
1.1420345,-0.067332044,0.60154927,0.8128018,-1.1796774,-1.2847028,-1.1856332,-1.0340289,N
1.249061,-0.25161284,0.8347131,0.7226055,-1.0393673,-1.1416916,-1.0957967,-0.90665174,N
-0.6739009,-0.25275952,-1.3309124,-1.6647378,-0.114957154,0.3328899,0.6738257,-0.51119906,P
-0.8593094,-0.24957274,-1.2023895,-1.5508246,0.25601414,0.6947917,0.8103125,-0.6624955,P
0.51835513,-0.17544764,-1.3077118,-1.1246532,0.63403404,-1.1115599,-1.0045538,-0.19050393,N
2.0050032,-0.10543112,-1.1897321,-1.1122953,0.6790492,0.4519045,1.0074996,0.5877786,P
1.0080272,-0.123753674,0.7793249,0.655693,-1.0019534,-1.1246198,-1.0625918,-0.27663547,N
0.36251953,0.08911656,0.74627686,0.5444823,0.94224447,0.8221841,0.22277498,1.0827001,P
2.002608,-0.14412946,0.4763134,0.78185844,1.8058376,-0.42855954,-0.44600067,-1.2229913,N
-0.70398813,-0.12995243,0.6637301,0.5252277,-0.59576315,0.6217657,1.6408154,1.2494246,P
-0.83209014,0.07445638,-0.6349649,-0.60313225,1.9894856,-1.1494818,-0.96359384,1.237276,N
-0.5581008,-0.21527325,0.8466091,0.74097,2.0502162,-1.1865201,-1.1519135,-1.3350445,N
-0.6447097,0.00083103776,-0.9104986,-0.881001,0.9997502,0.7894063,-0.28660575,1.2196976,P
-0.81893665,-0.23043582,0.9746549,0.6887032,-1.0980774,-1.1170135,-1.1417193,0.6318272,N
-0.8918549,0.05413466,0.98236334,0.67286795,0.7497154,1.0051001,1.2257042,1.0362931,P
1.2967334,-0.3097919,0.7577566,0.72344136,-0.0046900436,1.1400732,0.9874068,0.46322674,P
-0.7510027,-0.12385759,0.52400064,0.63148767,-0.94604605,-1.3443384,-1.0679781,0.19908106,N
1.2628211,-0.19753012,0.5861404,0.85652435,-0.23180225,0.9448902,1.4335415,0.59232515,P
-0.58055,-0.17769471,0.82928205,0.92796564,-0.8943332,0.16609347,0.33381838,0.13752073,P
0.9408474,0.01326485,0.8296882,0.88035053,-1.5230938,-1.213717,-1.0408939,-1.5605567,N
1.7361315,-0.27935463,0.7080965,0.74829435,-1.4487355,-1.2401499,-1.1694747,-0.44591558,N
-0.86804134,-0.11672485,0.78317213,0.74305445,-1.5550777,-1.0398468,-1.0416113,-0.2740663,N
1.253624,-0.018638,-1.6822219,-1.6522698,-0.56779873,0.40015692,0.8808874,-0.60413074,P
0.4317025,-0.36539298,-1.2141466,-1.3541473,0.7789155,-0.18350518,-0.23000589,-1.0968591,P
-0.46807587,0.11211144,-1.105818,-1.2866328,1.0646911,1.1001133,0.36746123,1.2549902,P
-0.85643435,-0.17168842,-1.3431821,-1.3979266,0.9199038,-0.0042113587,-0.2650039,0.373929,N
-0.482161,-0.22504985,-1.6348825,-1.2825319,0.4887015,0.7576295,-0.117693886,-0.2217581,P
1.6382679,-0.25615898,0.81657887,0.61093175,-1.1249996,-1.0125932,-0.99135,-1.4174572,N
0.8556412,-0.24124962,0.64979047,0.7549861,1.0872564,2.0612078,2.2170277,1.2320354,P
1.174423,-0.16533664,-1.810307,-1.6984692,-0.48516315,0.76405483,-0.27958104,1.2164562,P
-0.61030966,-0.24349079,0.82176435,0.68753654,1.9454896,-1.1623802,-0.7211461,-1.4624543,N
-0.7550634,-0.20480132,0.84012616,1.039853,1.5357788,0.4799586,-0.57248986,-0.3042437,N
0.12614034,-0.275829,-1.6748511,-1.6259645,0.9957175,0.23663023,-0.45156154,-1.4375813,P
0.027579695,-0.024069145,0.7341068,0.96262515,1.5793974,0.44134715,-0.27895954,-0.6753807,N
-0.6149844,-0.18088734,-1.5468485,-1.4865456,0.9819504,1.3284439,1.4885522,1.294583,P
1.0703291,-0.19727977,0.3937941,0.60662764,1.86939,-1.099814,-1.0604081,-0.9169853,N
-0.6458691,-0.1592887,0.72552913,0.8135308,-0.9023922,0.11382356,0.816249,1.2049048,P
2.1030846,-0.083348475,0.57585704,0.75241756,-1.2182454,-1.0622275,-0.78300303,-0.19762129,N
1.6673081,-0.20336136,0.5428829,0.9051134,-1.14688,-1.1677119,-1.1871041,-1.4638106,N
0.5389422,-0.028112456,0.7775892,0.6506877,-1.2710335,-1.0756931,-1.1642942,-0.54894805,N
0.4994393,0.024089694,0.85816616,0.5895288,1.7512047,0.79639786,-0.01713453,-1.147136,N
1.3607632,-0.066994846,-1.5671798,-1.7813219,-0.41732422,0.38018265,0.5416739,0.6128746,N
-0.9116153,-0.2583599,0.6252835,0.6753944,-1.0934669,-1.3322674,-0.8649402,-0.43332317,N
-0.920323,-0.044361614,0.63349944,0.6472168,0.8187843,0.69852036,-0.47087476,1.3406031,P
1.732241,0.077372625,0.85093206,0.7282232,-0.11800873,1.9234362,2.2218726,1.4386195,P
-0.887378,-0.28999752,0.86582816,0.9604745,-1.5786397,-1.0334368,-1.0286554,-1.2074578,N
-0.6922239,-0.13573238,0.87640435,0.6340082,-1.115356,-1.3546886,-1.1929656,1.3929499,N
0.5574413,-0.1761347,0.7952454,0.78376234,-0.1953105,0.1877251,1.2464755,1.1969857,P
0.43325377,-0.12212314,0.76416373,0.7735811,-1.0590508,-1.074047,-1.0547819,-0.5997192,N
-0.66086876,-0.0012703985,0.7878318,0.67931545,1.4984618,1.4563305,1.7962892,1.2010324,P
-0.92983466,-0.2282834,0.8300008,0.76717126,-1.4156696,-1.0536492,-1.2242582,0.18538493,N
-0.6444324,-0.19419524,0.6281569,0.7905878,-0.1456962,3.0186672,2.2792253,1.2297764,P
-0.55735606,-0.37021467,0.7654793,0.80176675,0.22459523,0.38614756,0.66141295,1.1389093,N
-0.97221005,7.333454,0.4479633,0.7525785,0.19989958,0.825773,1.5097793,-2.0437703,P
0.065138504,0.0057313293,0.8133056,0.89815295,0.08029997,0.3383559,-0.6710402,0.69462204,P
0.30399144,-0.18537499,-0.8132901,-0.9160336,1.5369214,0.16533175,-0.5789627,-0.9123772,N
2.035739,0.13397232,0.8020945,0.77187824,2.9775069,-1.3475608,-0.7764068,-1.248912,N
-0.64715564,-0.14916795,0.69352394,0.78834,-1.1803908,-1.1521149,-0.97617465,-0.6153556,N
-0.76460505,0.002748996,-1.5774901,-1.8269225,0.0398334,0.23523733,-0.36341423,-0.48676455,P
-0.5792798,-0.24288934,-0.81998575,-0.93227834,1.0330418,-1.315945,-1.0856359,1.4055458,N
0.9590213,-0.3076286,-1.3281201,-1.244039,0.81396,-1.0360978,-0.89423764,-0.62913543,N
-0.7390417,0.104088455,-1.1160252,-1.0342021,1.0920775,0.14811859,-0.49817035,0.55272204,P
-0.74976933,-0.42235935,0.57771647,1.0019945,-1.5385532,-1.1957003,-1.1394224,-1.248351,N
1.606624,-0.21453635,-1.6345786,-1.4213078,0.077755585,-1.2069978,-1.125784,-0.92478204,N
0.48084378,-0.15363063,0.81136626,0.7642667,-1.2491142,-1.0658062,-0.93245244,-0.66353786,N
0.7523384,-0.23462471,-1.0193213,-1.0079236,0.39218345,0.39153862,-0.23433027,0.47514454,P
0.4760751,-0.11745762,0.84454024,0.82615936,-0.34320736,0.46193573,-0.24203527,-0.5380773,P
0.82538635,-0.003718555,-0.2764357,-0.17795677,2.242652,-1.2391455,-1.1486311,-0.5957645,N
-0.769897,-0.012377001,0.7754652,0.787854,-1.2152561,-1.025729,-0.9469006,-0.31863803,N
-0.81603765,-0.050172515,-1.0964185,-1.3438891,1.1239259,1.383074,1.2326254,1.3349428,P
-0.8180036,-0.318312,0.39731443,0.8029195,0.80668664,0.20296712,-0.63982934,-1.0119386,N
-0.7871086,0.10396235,0.8170445,0.70584416,-0.41717154,1.7543949,2.217461,1.1697602,P
0.2959512,-0.28819978,0.70637155,0.8689717,-0.19900566,0.9794901,1.6032045,1.0529948,P
0.31138054,-0.15673819,0.50779074,0.9305295,-0.6190955,0.22405997,0.7879758,-0.7348109,P
-0.6666671,-0.019507159,0.66096497,0.74304473,-1.0419772,-1.2017103,-0.91868144,1.1231318,N
-0.5212193,-0.24084389,-1.3209461,-1.8070556,-0.31947425,-0.69679767,-0.776194,0.83602095,N
0.63510036,0.12109658,-1.1200185,-1.4702526,0.8431299,0.11036351,-0.5045097,-1.0333644,P
-0.50048494,0.008367311,0.6087034,0.5094637,-1.1619942,-0.8953255,-1.0318437,1.0146959,N
-0.6858595,-0.08321861,-1.4357872,-1.2647188,0.41347665,0.40215105,1.3324554,-0.5606452,N
-0.63538396,0.15143798,-1.4263895,-1.2734252,0.3914646,1.341595,1.9715545,1.1425353,P
-0.6726569,-0.24860555,-0.960747,-1.2783138,1.0333703,0.7507941,-0.059855785,0.23144245,P
0.740816,-0.15928292,-1.0280176,-1.24169,0.26045892,0.3631697,0.6432097,1.0232058,P
-0.6556686,-0.0070223585,0.71444696,0.9469133,-0.93887824,-1.0868394,-1.0742781,-0.041365296,N
0.6352719,-0.19984023,0.86164594,0.69094485,-0.84474444,-1.0839804,-1.0613674,-1.929434,N
-0.6695409,-0.08804122,-1.3084903,-1.2010415,0.1205265,0.76367414,-0.33070028,1.0646986,P
-0.5136303,-0.059576474,0.9542558,0.7293681,-1.0816433,-1.4684163,-1.0361123,0.4988323,N
0.27029172,-0.2398859,-1.322757,-1.6347104,0.14900595,0.43994492,-0.18167196,-1.0505819,P
1.2636728,-0.17932004,0.5977889,0.8182831,-1.5590318,-1.1879575,-1.1142902,-0.616067,N
-0.6369158,-0.28453693,0.7768964,0.9064767,-1.1348324,-1.2895294,-0.98338896,-1.2853168,N
-0.8797802,-0.018724546,0.89370656,0.71139526,-1.0979116,-0.9155233,-0.97769326,-1.302963,N
0.58302295,-0.3100861,-1.3736588,-1.5741223,-0.004819989,0.8105729,-0.37380165,-0.56721354,P
1.4259049,-0.123887196,0.6420201,0.5670313,1.7193428,0.25209582,0.8525019,1.411487,N
1.3915905,-0.1016545,0.5109823,0.67337775,0.76456696,0.46813694,-0.45046154,1.3663822,P
-0.6885851,-0.049640603,0.88256526,0.7580507,0.916168,0.7257036,1.7457745,1.4937372,N
1.1185851,-0.0243406,0.7093701,0.6590016,-0.9287209,0.26580396,-0.843261,-0.681064,N
-0.73650974,-0.20032777,0.6817933,0.9407393,-0.6608534,-0.50794464,-0.33531973,-0.6734766,N
1.0730063,-0.23142877,0.7569422,0.47183067,-0.19913915,0.5669193,1.5071226,1.3249815,P
-0.7836405,-0.12529758,0.8235971,1.0383247,-1.2465663,-1.1479306,-1.0135939,0.33538982,N
0.7869113,-0.20546561,0.6653218,0.82953656,-1.3701404,-1.0842199,-0.91227704,-1.3370355,N
