fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:,class
-0.18632677,-0.46521136,-0.011158735,0.75081027,0.36151192,0.010747094,-0.34817636,0.15557867,1.755435,-1.0372502,h
-0.7400873,-0.69424117,-1.1871363,0.8790188,1.2292418,-0.45364216,-0.11363846,-0.024615347,-0.9945475,0.8642201,g
-0.560607,-0.7619506,0.124884956,0.07229424,-0.3853772,-0.033527434,-0.45805803,-0.4325388,-0.31583163,-0.018437952,g
-0.74055684,-0.30315357,-1.3857968,-0.3340167,0.30236995,-0.14740129,-0.648894,0.16272013,-1.057127,0.7298695,g
1.6929106,-0.5604598,0.47595146,-1.0322558,-0.9835049,1.453031,0.7021162,-0.2608894,1.7022247,-0.26326904,h
1.4642577,2.8915951,1.3878092,-0.7481001,-1.182596,0.56337404,-1.1559716,-1.9311379,1.2222484,2.057182,h
-1.0496316,-0.5382145,-1.1486233,1.1397136,2.0530176,-0.8513938,-0.68424106,0.028584003,-0.46372443,-1.7796732,g
2.4959064,-0.09995043,0.28310394,-1.2099085,-1.0059243,-2.038962,1.2572432,-0.4021762,-1.0074602,0.40360305,h
-0.38309494,-0.27365,0.2824098,-0.58235574,0.028228134,-0.6955643,0.70738965,-0.6052002,2.0954475,0.17829412,h
-0.85548866,-0.34336776,-1.0215629,1.2622788,0.8903817,0.03520131,0.5156565,-0.37741658,0.2821765,-1.3566747,h
-0.52233577,-0.8617744,-0.6476673,1.949965,0.5030851,-0.21905676,0.6336576,0.9774147,0.9398979,-0.3897681,h
-1.0732069,-0.38241425,-1.4321581,2.043101,2.0593908,0.43391332,-0.12186963,0.03130257,0.84826684,-0.0073297527,g
-1.3855035,-0.50503016,-1.0728853,1.408759,1.4192046,-0.53836274,-0.30871072,-0.09005949,-1.0676091,0.468069,g
-0.17414342,0.061361454,-0.227556,-0.23763297,-0.1189022,-0.78817064,-0.1287128,-0.37304547,0.4587903,0.9555743,h
-0.31508607,-0.5874141,0.32496625,-0.06932671,-0.4591934,-0.34030598,0.087734416,0.27917996,-0.17958337,0.1284711,h
0.9100143,-0.08590606,0.5743753,-1.316411,-0.3338247,-0.42288923,0.16094398,-1.0056535,-0.7914935,1.8278953,g
1.0588406,2.9323275,1.1822274,-0.8456477,-1.3425009,0.12803793,-2.1622367,-2.7262454,0.04828033,1.293756,h
-0.75400555,-0.55250317,-0.26470825,-0.2389693,-0.1989643,-0.08229047,0.34091428,-1.0824307,0.07967979,-0.6340385,g
-0.90942544,-0.7865999,-1.3093908,0.89317787,0.68384147,0.1317104,-0.26704395,-0.3068852,1.8639617,0.98751545,h
-0.11813933,-0.11706452,1.0513409,-0.7520994,-0.4911576,-1.6038944,0.096170396,0.82344556,-0.98225766,0.89602923,g
