V1,V6,V10,V12,V13,V14,V15,Class
0.83078897,-0.6889329,1.7537104,0.42092994,2.0048084,-0.22894272,-0.35975468,2
-0.28795823,-0.72411704,0.5212822,-0.6303361,-0.35580504,-0.50249696,-0.40050623,1
-0.38455045,0.051180925,-1.0709599,-0.022954106,-0.3458948,-0.097207636,-0.6790198,1
-0.21579659,0.1635747,-1.0822159,-0.79408884,-0.2743017,-0.3755011,-0.42131975,1
-0.65728754,-0.6745299,0.7582247,0.40330625,-0.8845546,0.11055377,0.8404755,2
-0.6026407,0.23323262,-0.51314616,-0.3880583,-0.965041,-0.09348369,-0.14971626,2
0.5528409,-0.15528122,0.19431195,-0.39039928,0.043801606,-0.25998774,-0.63665605,1
-1.9649769,0.34223032,-0.67933947,3.7570062,0.615581,-0.7171403,-0.65838146,2
3.5623612,1.3705437,-1.7916343,0.9015168,-0.13766012,-0.7780038,-0.31125402,2
-0.4752043,0.6837381,-1.5071769,-0.25060984,-0.47591013,-0.6632448,-0.47968596,2
3.369341,-0.5702593,1.1066194,-0.8799101,-0.24842095,-0.6211717,-0.4254463,2
-0.96240544,-0.61505413,-1.8871123,-0.91129017,-0.8048538,1.0324106,0.3348036,1
-0.25783753,-0.3052588,0.010930181,-0.38424146,-0.36203638,-0.6312592,-0.7688155,1
-1.9299842,-0.2008707,0.44782233,-0.077262774,-0.44305742,0.50403833,0.603753,2
-0.5414123,-0.08253163,-1.4052328,0.59529835,-0.3930176,-0.54497206,-0.3223288,2
1.8394673,4.4311204,0.23181076,-0.72891986,-0.5103861,-0.72415906,-0.7513035,1
-1.2450695,-0.21188734,-0.9256361,0.19932932,0.7768754,0.13542482,-0.1302581,2
-0.39037517,-0.6471373,0.5596049,-0.27235788,0.034951627,-0.28570306,0.0140886605,1
-1.8433735,-0.36584625,1.4611698,0.37448546,-0.03976111,-0.5348048,-0.007691264,2
2.0646572,-0.7450528,1.1792219,-0.23604843,-0.44607508,-0.6648128,-0.7862419,1
1.1026733,-0.5963268,1.3886945,2.0862398,1.0620191,-0.6455779,-0.11533579,2
-0.471905,-0.38905776,0.4386457,0.058252424,2.3300858,-0.4412644,-0.6044048,1
-0.33382726,0.8736805,1.5844734,-0.57275534,-0.7648627,-0.84773195,0.054066867,1
-0.6207485,0.31710237,-0.0105724335,0.2544118,-0.59377575,-0.47206783,-0.48697495,2
-0.30618697,-0.17009293,2.3281975,-0.45161146,0.08067578,1.2555058,2.3531523,1
2.6820674,1.656675,-0.6505333,-0.5254014,-0.3720991,-0.70179856,-0.1313739,2
-1.1498961,-0.17867175,-1.1622596,-0.2931542,-0.008095205,2.812985,0.02800101,2
1.2721758,-0.18515776,-1.0908172,-1.2595689,0.45711094,-0.79884994,-0.70039487,1
1.2913892,-0.280861,-1.3320533,2.515785,0.096932456,-0.70333725,-0.17786935,2
2.14954,-0.15723523,-0.06372777,0.7244556,-0.44004846,1.087545,1.0642822,2
1.5517985,-0.64316696,-1.3084506,0.4508466,-0.93396866,-0.396286,-0.71419805,1
0.7040181,0.837202,1.7394346,0.14020789,0.13226807,-0.618545,-0.20124628,1
-0.063100055,-0.91336536,1.3290672,-0.55644614,-0.29605418,0.18728808,0.32149628,1
-1.1217462,0.87894225,-1.745797,-0.25789693,-0.49520868,0.44405934,0.19171333,2
-0.40137145,-0.15800685,0.022849858,2.2195861,-0.33002287,0.019371301,-0.19097844,2
0.14760101,-0.07622546,1.5021719,1.1505547,-0.7664825,-1.1030172,-0.2749772,2
-0.31449145,-0.5138853,1.279186,-0.7841972,7.583565,-0.1889956,-0.3312558,1
-0.14325236,-0.13901499,-2.026756,-0.55197823,0.2558084,0.015985638,1.0471189,2
-0.12336096,-0.37433612,0.22722486,-0.55955637,-0.37666786,-0.3828311,-0.43521217,1
1.5773848,-0.28181607,-0.21824652,0.42450553,-0.19401705,1.4749231,1.1060592,2
0.9414173,-0.34049135,-0.46820283,0.7801388,-0.63031113,0.019216388,-0.61951584,2
-0.6020787,-0.25232938,-0.5713602,-0.5706735,-0.10467807,3.0889626,3.3437147,1
0.06605619,-0.63623255,1.6921141,-0.4054998,1.9365125,-0.39631075,-0.58798313,1
2.1534302,0.33617198,0.055011697,-0.27572286,0.22651197,-0.49970722,-0.4771848,2
-0.008274909,0.054282248,-0.658354,-0.18976973,-0.46828562,-0.25476354,-0.039111108,1
0.3533481,1.2576238,0.2913919,1.6142644,-0.36028028,-0.86424637,-0.4312911,2
0.2588646,-0.17234534,0.1466145,-1.1034124,-0.68201107,-0.72139347,0.1092186,1
-0.36395115,-0.47617346,-0.17330003,-0.3669393,-0.36085272,1.3097296,2.8100529,2
-1.1204047,-0.6194885,-0.32810274,0.057690263,-0.27490819,2.5941646,4.0630927,1
0.25993976,0.24055931,2.0302653,-0.46629152,-1.0587685,-0.5761028,-0.049985588,1
0.80772865,-0.27481663,-0.8656172,-1.0031822,0.06771735,-0.3337162,-0.32355782,1
-0.29525083,-0.28563672,0.6265136,-0.053532764,-0.4703456,-0.346393,-0.6062014,1
-1.523415,-0.60965204,-1.4736378,-0.43129772,-0.37223268,-0.39316905,-0.18673348,1
0.09266275,-0.34417188,-1.0411072,0.8924856,0.22814018,-0.65840656,-0.50394064,1
1.0008299,-0.6677587,0.5501852,0.02106674,-0.5488382,0.08812907,-0.15285426,2
1.6397336,-0.46264613,-1.4626195,0.5307796,-0.75657415,-0.9882033,-0.3242162,2
-1.1558864,0.1976656,0.45055065,-0.4658482,-0.42902207,-0.93929553,-0.2712474,1
-1.5635436,-0.686985,-0.5722413,-0.17591098,0.5500568,-0.2480642,-1.0739214,1
-0.599481,0.26129502,2.2275972,-0.32562318,0.31807366,-0.38907275,-0.11862153,2
-0.21194991,-0.32737783,0.10560003,-0.8393325,-0.38989815,-0.71638966,0.018820107,1
1.2074149,-0.5307404,0.01286196,0.081963934,1.0590031,2.720428,-0.3648381,2
-0.62495804,-0.536114,-0.98155534,-0.8955715,-0.31584993,-0.27252233,-0.6695571,1
