V1,V2,V3,V4,V5,Class
-0.63878524,-1.0615379,-0.47765326,1.0675927,2.7695308,2
0.69623524,0.60861874,-0.31127056,1.3804126,-0.92787176,1
-0.14451268,1.863827,-1.3992242,-0.13996638,-0.5930137,1
1.9935076,-1.712525,-0.52907944,-0.48207802,-0.012222469,1
0.12451474,0.3181185,0.5775787,0.008792087,0.90473634,2
-0.3644042,0.13624232,0.58900654,1.2884582,-1.0401304,2
2.9215066,-1.5637264,0.44642282,-0.27511975,-0.6677866,1
-0.52849996,-0.38544488,0.35245112,0.6527445,-0.7070344,2
-0.24471706,-0.18124485,0.6028235,-1.3337275,2.0151808,2
-0.6956842,0.24553081,0.4490825,1.9475185,-1.0342057,2
-0.25421032,-0.37898803,-0.040103205,1.0584248,-1.5210147,2
-0.8913206,-1.0089295,-0.4524714,1.5169718,-0.29674965,1
-0.73264825,-0.1222471,-0.4842069,0.2716408,1.0280149,1
-0.9919049,-0.9354776,-0.47015062,-1.257379,1.3841413,2
-0.27081108,-0.76967627,1.3750284,-1.5606517,-0.2534503,2
0.0708444,2.3205698,-1.6696932,-1.1609104,-0.39716,1
-0.5596522,-0.8208075,-0.51515627,0.3229171,-0.19311598,2
1.5483928,0.2005471,-1.039203,-0.43794987,-0.00811497,1
-0.2700108,-1.2082661,0.9217172,0.43013102,0.97306824,2
-1.0095935,-0.82412124,-0.18223578,1.4779294,-1.3474218,1
-0.59898937,-0.37831688,0.73617095,0.9796399,2.2934248,2
-0.07228562,-0.6666605,0.6510154,1.0109267,0.9848769,1
0.93382347,0.9766828,-0.14652319,0.4115988,1.2305667,1
-0.4838842,-0.7653599,-0.02382283,0.504961,1.3934906,2
-0.94895446,-0.81213444,0.2259778,0.53092766,0.24578412,1
-0.9350782,-0.5361884,2.0294623,-1.8978174,-0.742469,2
0.008732837,0.11334327,1.5551279,0.71109945,-0.60009974,2
1.2208472,0.72352844,-1.2261992,-0.7679168,-0.03610228,1
-0.28168982,0.40014392,0.35760877,1.3944257,-1.0909369,2
-0.14650087,-0.123613715,1.4407527,0.54645383,1.1720612,2
1.2342073,0.07041804,-0.6559051,-0.8385557,-0.93099993,1
-1.4861625,0.92140776,0.12428686,-1.2295821,-0.42258555,1
-0.12186945,1.3016906,-0.4946553,-0.03669192,-0.38997212,1
-0.5568052,-0.054204144,-0.6020783,1.2026459,0.8525679,2
-0.8538273,-0.6692717,0.12742352,-1.1192735,1.9722317,2
0.16421747,1.9727618,0.6270757,0.25086746,0.5973284,2
-0.13019599,0.21359634,1.3967339,-1.0434463,-0.44100624,1
-0.28921515,-0.5232735,0.09763105,-1.8669283,3.5856452,2
1.0197208,0.42141724,-0.5398833,-0.051977023,-0.29925984,1
-0.5487173,0.06124361,-0.026701083,-1.1940473,-0.17833409,2
-1.187246,-0.7960202,-0.21062669,1.6389849,-2.2347062,2
0.5601541,1.1594305,-1.2079223,-0.13668351,-0.6678933,1
3.3770752,-0.5507656,-1.0013007,-0.5953518,-0.5634912,1
-0.7060205,1.2280041,-0.02482318,-0.17367196,-0.6372717,2
-0.9655241,-0.38848376,0.5012912,1.3814938,-0.18541342,1
-0.7102184,-0.58706385,-0.29907155,0.7405212,-0.21891597,2
-0.3497388,0.6084502,1.4908957,-1.3722103,0.54320127,1
-0.55737644,-0.93275404,0.47759634,1.7682859,-0.09630406,2
-0.5531552,-0.12837966,1.7551694,-1.5152667,-0.03985201,1
-0.4345885,-0.95221657,-0.6861596,-1.2825242,1.85748,1
0.14476874,2.0655668,-1.6646615,-0.32868016,-0.43369198,1
-0.72735,0.081949845,1.088764,-1.5452619,0.80419743,1
1.9852777,1.0143352,-1.4570128,0.60340226,-0.6941218,1
-0.4228079,-0.7269686,-0.54254085,0.36516243,-0.24161802,1
-0.73657215,-0.37698752,1.5800791,0.28696004,0.7077919,2
0.0149188675,-0.32878768,0.6736152,0.61707157,2.5755067,2
-0.6315315,-0.3242886,2.7580714,-1.4541912,-0.5350354,1
1.9126679,-0.23066342,-0.65169454,-0.965759,-0.48394048,1
0.11158174,-0.6664127,1.0201067,0.8144725,2.0455909,2
-0.6894805,0.22205888,2.1048923,-1.1823392,-0.65055174,1
-0.8020965,-0.7541292,-0.2979938,1.638438,-1.1963011,2
2.5783281,-0.740498,-1.145026,-0.4471931,-0.040948197,1
-0.06566979,2.6685684,-1.740181,0.46229064,0.52792555,2
0.26581317,0.70281225,-1.580162,-1.1933446,2.5835052,1
-0.5316173,-0.30933604,1.6621063,-1.4742894,1.9319932,2
0.61195153,1.4107596,0.13981105,-1.4183254,0.19143486,2
1.4426973,-0.77599347,-1.1621753,-0.7026838,-0.2496817,1
-0.35882545,1.6972498,-1.9226605,-1.2706916,1.7774003,1
-0.24165863,0.62707514,-0.2835391,-0.110451624,-0.27180842,1
-0.74353576,-0.70427394,-0.18301848,-1.0737267,1.7358131,2
-0.5697046,0.8092011,-0.16283421,-1.1566523,-0.46074006,1
1.2288408,-0.30893955,0.44882518,1.3401757,-1.0528092,1
-0.8794757,-1.1296556,-0.33653757,1.8549298,-0.7936618,2
-0.5175043,0.32169905,0.35048038,0.05478727,-1.0222521,1
-0.65435916,0.017374933,-2.1295478,-1.0295424,0.06870906,1
-0.9508953,-0.9662204,-0.5553573,0.116084896,1.7656105,1
-0.7252279,0.0375295,0.90635514,-1.8365397,2.1648934,2
-0.55837137,-1.1634814,-1.0351528,0.8835652,2.486539,2
0.2859013,1.2716814,-1.7318151,-0.3610559,0.03941235,1
-0.35555634,1.8984612,-1.6381273,1.009924,-1.0801789,1
0.44028285,1.097312,1.3133,-1.3112322,-0.71186256,2
-0.6957592,-0.9913689,-0.06373809,1.7433319,0.0024605691,1
0.47049594,-0.7303818,0.93272966,0.3486154,-0.9068672,2
-0.14020075,-0.17931801,1.140728,-1.2860435,-0.2315505,2
-0.6521727,-0.6943911,-0.16831881,1.4854708,-1.541565,2
-0.72809064,-1.1159011,-0.34809172,1.7422247,-1.5903535,1
-0.53228873,-0.09155795,1.2583737,-1.1830738,-0.73429924,1
-0.08067328,0.11611183,0.7154909,-1.40496,2.4362595,2
0.10417187,2.4988976,-1.7492094,0.39647192,0.13852979,1
0.60213256,0.4613344,-0.30484727,-0.83745784,2.2784653,1
-0.9640556,-1.6674962,-0.97614354,-1.2321815,1.4470465,2
-0.59566057,-0.983032,-0.6868875,1.8410932,-1.2449567,2
-0.8936428,-0.5634276,0.1337166,1.2598585,0.7452059,2
-0.8306641,-0.17123652,1.5786554,-1.4559643,-0.4504934,1
-0.14394185,1.9965748,-1.5870104,-0.8317822,-0.59526944,1
-0.6094525,-0.8129276,0.2430577,1.3574998,2.5445192,2
2.526928,-0.5601136,-0.81989145,-0.82598305,-0.14589733,1
-0.21499254,-0.8896142,0.023637388,0.63428056,-0.23032688,2
-0.105888024,1.8305833,-1.4673319,-0.7426337,1.464392,1
-0.40657026,-0.14047241,1.382343,-1.234453,-0.5873123,1
-0.7612909,-0.47275063,2.0631764,-1.3757176,0.18744361,1
-0.7791361,-1.6387421,-2.1788962,-2.0145915,-1.597764,2
-0.9449562,-0.8303958,1.7198678,0.44539556,0.85066426,1
-0.04397355,1.9614412,-0.16362986,0.535076,1.0627068,2
1.6706871,-0.31242672,-0.89884067,-0.61260337,-0.34349683,1
-0.99286515,0.53574204,-0.089021266,-0.2778082,0.18104845,1
0.052968234,1.9982026,-1.6914368,-0.4778724,0.4224932,1
-0.8406166,-0.78866994,-1.6953592,-2.0859551,-0.17968856,2
-1.1307676,0.34722358,1.7074075,-1.4747393,-0.24915329,1
-0.224682,1.820003,0.6734429,0.29606664,-0.899642,1
-0.5399135,-0.9773227,-0.1712253,-0.9772006,0.06347075,1
0.42889947,-0.4842546,-1.1456808,-0.879033,-0.33607176,1
-0.3350283,-0.22811866,1.2358221,-1.504092,0.89713603,2
-0.06444962,0.83512187,-1.192327,-0.2822076,-0.6417735,1
-0.45044172,-0.22916377,-0.20751601,0.66081774,1.1020612,2
-0.6329488,-0.46504593,1.8046961,0.70662177,1.2590313,2
-0.6851806,-0.8475462,-0.059944272,0.83237875,0.122174814,2
-0.73077863,-0.99734944,-1.8002198,-2.109501,1.1899488,2
-0.25170523,2.4726899,-1.4349501,-1.1678622,-0.8701851,1
-0.523835,-0.67804277,-1.7134025,-1.8273252,1.7766399,2
-0.3774565,0.46992642,1.0199981,0.6451361,-0.09096329,1
2.7234657,-1.286813,-0.791244,-0.543683,0.009907229,1
-0.84503025,-0.8277522,-0.2206731,0.39998388,-0.21837205,1
-0.60189635,-0.5759667,0.23265089,1.9535189,-1.5668317,2
-0.07782829,-0.7899525,1.2932333,0.811111,2.0668926,2
-1.11269,-1.1836705,-0.708915,-1.2119893,0.02672176,1
-1.4479821,-2.3869627,-1.3707154,-0.68302536,-0.1747514,1
0.91872245,1.7052504,-1.6022117,-0.5385512,-0.1225829,1
-0.60442257,-0.39203596,0.112880275,-1.3374293,-0.46362096,2
-0.73276275,0.23668341,2.0300262,-1.7090986,0.02328211,1
-0.6824064,-0.7110338,-0.042560138,0.052371234,-0.20367332,2
-0.2335638,-0.4938717,0.6035119,1.039638,0.92346025,2
-0.55921,0.58384156,0.09422274,-0.019626006,-0.6805231,1
-0.5837587,-0.9579962,0.5485687,0.98525715,1.0180295,1
-0.70449567,-0.8516238,0.075372145,0.90845156,2.6965513,2
-0.7696994,-0.10890505,-0.44016147,0.6128077,-0.5709139,2
-0.36477447,2.2190907,-0.17801261,0.15691988,0.95110714,2
-0.92945206,-0.21043825,1.4869194,-1.9087888,-0.6672322,1
-0.44355583,1.4701324,-1.5874317,-0.87664104,-0.36406285,1
-0.26880288,0.1642783,0.7629882,1.4290887,-0.9078136,2
-0.17549671,0.4993124,0.17485704,0.26625463,1.7110089,1
1.2099105,0.8640195,-0.796897,-0.23990111,-0.12064953,1
-0.23560657,-0.22612739,0.45616105,0.6155676,2.556185,2
0.37803563,-1.0731411,0.42710868,0.7393658,1.660608,2
-1.0384023,-0.8432197,-0.07056851,0.4703692,0.29627377,2
-0.5591925,-0.7682931,1.4669535,0.45333114,1.017484,2
-0.7297708,-0.21153784,0.8921,0.59520704,-1.2461176,2
-0.5936011,-0.6434597,-0.5088549,0.57453555,-0.38497162,1
-0.11613502,2.9046445,-1.5769074,-0.7744635,-0.22336338,1
0.34437865,0.08862342,0.7269902,0.10299075,1.2315868,2
2.7169988,-1.493284,-1.356315,-0.425524,-0.17331699,1
-0.45189402,-0.42746657,1.7718437,-1.2256682,-0.83086324,1
0.26588467,1.4721193,-1.3061385,-0.7846393,-0.35737354,1
-0.62718815,-1.2562459,0.3664068,-1.6967633,3.4773903,2
