lepton_pT,lepton_eta,lepton_phi,missing_energy_magnitude,missing_energy_phi,jet_1_pt,jet_1_eta,jet_1_phi,jet_2_pt,jet_2_eta,jet_2_phi,jet_3_pt,jet_3_eta,jet_3_phi,jet_4_pt,jet_4_eta,jet_4_phi,m_jj,m_jjj,m_lv,m_jlv,m_bb,m_wbb,m_wwbb,target
3.179766,0.6248853,0.39451104,0.7472484,0.7804905,-0.67224205,2.1280465,-0.96621615,-1.8272802,0.13204819,-2.2425158,-2.0959451,1.928413,0.10285352,-0.4814752,1.1657109,-1.6396438,-0.47520384,-0.6581489,-1.3119323,-0.5376683,0.62269795,-1.8601006,-0.91208035,0
-0.5742992,0.56134355,0.37905744,1.3831877,-0.8704386,0.10980023,-2.654706,1.3894293,0.8018563,-0.07523632,1.6701348,-0.24062753,-0.9949233,0.79389685,-0.5015447,-0.6458485,-0.28737444,-1.0510138,0.42950967,-0.7618736,0.74252546,0.38081977,-0.094641656,0.55312026,1
3.8761213,0.77851087,-1.1399155,0.32042617,2.3306425,1.1612577,-0.74558157,1.8199936,2.052747,0.38172433,1.942959,-1.2077713,1.3211033,-2.049209,0.46167165,-1.1379592,0.27378255,1.219646,0.68392336,7.01544,2.9131055,1.768515,1.3977301,1.1719939,0
0.757986,-0.46722704,0.8243318,0.7316017,1.0644026,0.2031087,1.0935806,0.7142307,-1.9061704,-0.42171234,0.38530266,-0.94892234,-0.7582715,-0.40013778,-1.8292124,0.3402112,-1.8363347,-0.8268463,0.16221079,-1.2531431,-1.1408559,-0.6295309,0.6533747,-0.44429493,0
-0.34801704,-2.0784473,-1.2357681,0.8866387,-1.3286111,-0.4975864,-2.5141983,0.43537202,-0.75238514,-2.5916963,0.82295907,-1.4642159,-0.54834026,-1.7886031,0.8877933,0.11183891,0.293864,-0.47790363,0.020214736,-0.25426564,-1.5132179,-0.33820406,0.22091782,-0.71921086,1
-1.180087,1.5213037,1.2672954,1.2458745,-1.8408937,-0.1821003,-0.0544962,-2.1091218,1.622854,0.33101833,1.6162832,0.35640022,-1.4421787,0.96226156,1.4414401,-0.12965874,-0.2134124,1.7923868,1.6968125,0.12072414,1.8529449,-1.3656805,0.55662036,0.4365831,1
1.3635032,-1.8306783,1.3420395,0.025095709,0.3937851,0.61983,-2.011005,-0.1725846,-1.4841216,-2.5952072,-0.6004203,-0.019800145,-1.686141,1.2068936,-1.04326,-1.3431139,-0.6547313,-0.76018316,-0.3219713,-0.24519387,1.4091628,-2.0083141,0.31372935,0.64982826,1
-0.8289726,-0.38870716,-0.8795791,0.3855521,-0.9008418,-0.92115426,0.3733214,-1.1750982,-0.2626541,-1.3076297,0.9428545,0.91788733,0.7604049,1.1327248,-0.052179933,0.6288317,-0.040973425,-0.56536865,0.011983693,-1.3107327,0.21462595,1.7696861,-0.9703523,-1.5010519,0
1.4003981,-0.8252754,-1.8647815,0.34413874,-1.213342,1.3085368,-0.24724057,0.832197,-1.1771116,-0.07672443,1.0272632,0.048022866,-0.89634967,-1.874662,-1.5445344,2.756722,-0.5169668,-0.92336404,-1.3233057,-1.2879726,-1.0324295,-1.1911467,-0.5268612,0.42425478,0
-0.15521502,-1.6531799,-0.35380858,0.7280124,0.97010607,-1.1637204,-1.0542611,1.364254,1.3225895,-0.48529673,0.4867301,-0.6222184,-2.281435,-1.4773521,-1.4913535,-0.2986023,-1.4460098,-0.53178763,-1.0535885,-0.56379616,-0.6346458,0.93264985,-0.1449433,-0.71233785,1
