lineNo,assgNo,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,label
-2.293098,-0.9812285,-0.104813695,0.4200948,0.6809567,0.5185536,-0.032819837,-0.46653658,0.33590293,0.059624754,0.0068913996,0.10506511,0.3686726,-0.43691522,0.39343318,-0.14480872,-0.38498127,0.32882673,1
-1.3113503,-1.4032913,-0.49152216,-1.0866827,-0.2275728,-1.4364102,0.22763173,3.0090187,-0.10723617,-0.51688814,-0.89751107,-1.5020219,-1.0617319,-0.12931325,0.1594513,0.52040064,-0.38528177,-0.62771946,0
2.0725293,1.7262224,-1.2144091,-0.86534643,-1.2446165,-0.52605546,0.20477492,0.40151048,-1.5773693,0.969686,0.8771186,-1.1110829,-0.7653723,-0.12314683,3.228203,-0.012362912,-0.16392392,-1.0439636,0
-0.43984878,0.4872671,-0.8619437,-0.65134025,-0.39329773,0.23859951,0.8773178,-1.1217078,1.5568211,-0.32509267,-0.94865644,-0.7596971,-0.9243258,-0.6641189,0.06767931,-0.51723915,-0.0905267,-0.037662208,0
0.51318693,1.7147149,-0.4841501,-1.6335168,-0.5260056,-0.13496825,0.027101055,-0.44274753,-0.09679882,-0.73855126,-0.14096004,-1.1616466,-1.4855366,0.9611238,-0.90358937,0.34533936,-0.71940476,0.4744203,1
1.0304253,0.59176856,-0.5610368,-0.49453825,0.11306074,0.001217477,0.5764985,-0.40082952,0.7925023,0.87789583,0.5125729,-0.8308414,0.026116073,-0.51832324,-0.17090164,0.011058262,-0.07431202,-0.21749005,1
-0.84142554,-0.39498973,-2.3504596,-1.2885156,-0.78375936,0.10404605,-0.034026183,-0.65188897,-0.8447831,-0.67118365,0.080154896,0.048360437,0.31204098,0.46252087,0.4201633,0.42965484,-0.75818205,-0.023551777,0
0.27415574,-0.7795895,0.6891732,-0.6024797,-0.40070337,-1.6910219,-0.26080465,3.3854597,-0.53836596,0.63790077,-0.012261048,-0.87223625,-0.5664293,0.22626317,-0.91469985,0.28156847,-0.74448454,-0.5102315,1
0.61381114,1.8340458,-0.4660496,-0.33552217,-0.7288445,-0.3384604,-0.5463358,-0.5191736,-0.10656892,-0.6359411,-1.0264095,3.9822986,0.48470545,-0.13676828,2.531819,0.30071026,-0.88156426,-0.43703777,1
1.4265909,0.014895797,-0.5186657,0.9176141,-0.46045068,-0.54718256,3.2225838,1.6975935,1.9274337,-0.42296174,0.47196168,0.30587646,0.23795715,-0.30495828,-0.16001266,-0.22587812,0.020093702,-0.086200014,1
0.80636036,1.4692094,-1.8427933,-0.0152176395,-0.6800963,1.6463132,1.8743947,1.1535444,1.2239995,0.17927916,0.13904865,-0.12863015,0.003976278,2.5421846,0.6214609,0.33662963,-0.6572518,-0.849869,1
-0.36865944,-1.4611113,-0.4085421,-1.7020905,-1.0327921,-0.4260718,-0.68217766,-0.05896038,-0.03207916,0.14548936,-0.13103543,-0.9580965,-0.7949799,-0.2591663,-0.14891285,0.14297368,-0.41779602,-0.92795634,0
