,x,y,class
0,0.9371936,-1.2567867,a
1,1.6227375,0.4319315,c
2,-1.0224409,1.5848111,a
3,-1.3829074,0.5688875,c
4,-0.6842197,0.28395104,a
5,3.2083027,0.31179786,b
6,1.6799264,0.14083333,a
7,1.8614851,3.2967186,a
8,1.8939027,1.5340797,b
9,5.1018662,-0.22144836,b
10,0.5440136,-2.4204862,a
11,3.040501,0.46017846,a
12,3.9590323,-0.7333042,c
13,1.3969965,1.05992,b
14,-1.045372,-1.5847656,c
15,1.4726872,1.7871597,b
16,0.05132942,-1.662795,a
17,1.4896226,-0.5158489,c
18,-0.46529025,-0.5124929,a
19,-2.5922582,0.28331238,c
20,1.7635769,-0.019752935,a
21,-1.31228,-0.52201664,a
22,0.44950637,-0.70697534,a
23,-1.2490379,-0.21960256,b
24,2.7596512,-0.5610033,b
25,2.9763827,-1.3469651,c
26,-0.9058025,-0.7672689,b
27,0.9863157,-0.6279087,a
28,-3.878881,1.0425987,c
29,-0.2117132,0.38974243,b
30,0.64061046,-0.741886,a
31,-0.60659415,-2.2485552,a
32,1.2953676,1.9210697,b
33,1.8702284,0.8908409,a
34,2.6965375,-0.71044755,a
35,3.9483175,-0.28658283,a
36,0.22524759,-0.38974392,c
37,0.4077108,2.6685457,a
38,-0.6318617,1.2560868,a
39,-0.16355863,0.57658035,a
40,-0.5402509,0.7762202,a
41,-2.03719,-1.7205973,a
42,-0.4185127,1.2106212,a
43,-1.0383667,0.90696263,a
44,-0.6198112,-1.9726728,a
45,2.8326464,1.1134039,a
46,2.2306728,-0.18111923,b
47,-0.76466393,0.9615712,a
48,-1.5035197,-0.6086494,a
49,-0.2055378,0.9149014,a
50,-4.8679137,-1.0425155,b
51,4.3326454,0.15535231,c
52,-1.0728159,-1.0064545,b
53,1.561583,0.8843795,a
54,0.11400562,-1.9059856,b
55,-0.5889273,-1.3922002,a
56,-0.78901273,1.589702,a
57,3.2600784,-0.99032843,b
58,0.30405718,-1.7721272,b
59,0.76730376,-1.6916208,c
60,4.0390873,0.9472655,b
61,0.17230697,-2.6037657,a
62,-2.3742003,-0.54824173,b
63,-0.116603225,-0.13522708,b
64,0.9002789,-0.7431356,b
65,0.7656646,-0.21334746,b
66,-0.7081788,0.902014,a
67,-2.864829,0.96290755,a
68,3.5676074,0.8607018,b
69,-1.9580319,1.5865148,b
70,-0.797904,1.0563887,a
71,-3.7563448,-0.74038684,a
72,1.6617459,-0.90455174,b
73,-1.477472,1.5380762,a
74,-1.3076912,-0.70285064,c
75,3.324062,0.21876922,c
76,1.233533,2.6214242,c
77,-0.53398246,-0.1696972,a
78,0.7222464,-1.5510893,a
79,-1.4310327,-2.8938258,a
80,1.9264184,-0.09491798,b
81,3.1029348,-0.89838815,a
82,0.7018055,-0.63219225,b
83,-4.3160987,-0.38444582,a
84,2.2006354,0.01694274,b
85,-3.3568048,0.17879471,a
86,-0.4117246,-0.28157043,b
87,-1.9672853,0.4438242,a
88,0.64553505,-1.0693073,a
89,-0.061737936,-0.49423492,c
90,3.2582169,-2.836005,c
91,2.4677417,0.21628991,b
92,0.8359426,-0.82075727,a
93,0.032432593,-2.301013,b
94,-0.43920246,0.5535771,b
95,2.9075208,-0.22265306,a
96,1.08225,1.9287709,b
97,1.3789222,2.4873986,b
98,-0.054959193,3.7345743,a
99,1.5685301,-0.2874202,a
100,-1.6839833,0.8618907,b
101,-0.87925875,-0.31380594,c
102,1.7674224,-2.668403,b
103,-0.064688206,0.15282354,a
104,-1.2214203,1.2066367,a
105,1.4042327,0.22472928,b
106,1.010143,-0.678133,a
107,-2.7117295,0.40350446,a
108,2.5305097,1.9549803,c
109,-0.028535157,-1.8849367,a
110,3.1362658,-1.0249078,a
111,0.45910618,-1.8269972,a
112,0.9952115,-1.9769025,b
113,-0.48221558,-0.37752393,a
114,0.69703364,-1.3522032,b
115,0.41821367,0.09574544,a
116,-1.9182506,-1.1733804,c
117,1.0498929,-0.56096804,a
118,0.2700159,-0.43907663,b
119,-2.4273329,1.0578685,a
120,3.0360749,-0.59155214,b
121,2.4413047,0.4081961,b
122,0.5234656,-1.9308656,a
123,-1.5151924,-0.18236832,c
124,1.4721112,1.0247688,a
125,0.95602685,-2.8837318,a
126,-0.26733938,1.0879595,a
127,1.5838014,-1.5975428,b
128,0.8780981,-0.010427773,c
129,-0.75175774,-1.8382717,a
130,-0.05510953,0.7932174,a
131,-1.1074085,-1.6521462,a
132,1.0610416,-1.3278917,a
133,-2.7942455,0.4285447,b
134,1.0029398,0.79905653,a
135,-1.4916444,-1.4621086,b
136,-2.9488049,0.24749926,b
137,-0.42756656,-1.9168372,b
138,2.6583161,-0.23608667,a
139,0.26653063,-0.2175927,c
140,-0.7025515,-0.14775136,a
141,-0.73633456,-1.0849814,b
142,0.07682407,-2.0683758,a
143,1.8995088,-0.66322577,b
144,-2.4580443,-2.877676,b
145,-0.111644566,-1.7033273,b
146,-0.81008136,-2.189759,b
147,1.6187692,0.44609228,a
148,1.2493178,0.32707414,a
149,-1.5643879,0.9386722,a
150,0.5720018,-1.5885265,c
151,1.9289327,1.4668249,b
152,-1.7851119,1.472894,b
153,-1.1854622,0.20806684,b
154,-0.01337032,0.58256596,a
155,-0.71835214,0.6634022,a
156,1.0131683,1.8505228,a
157,3.4513428,-0.06150633,b
158,-5.1579666,0.30348587,c
159,0.56164634,-1.2201109,c
160,-0.8822048,0.85411894,a
161,1.7148536,-1.3942761,a
162,-4.1661463,0.5429973,c
163,-0.5459188,-0.39081725,b
164,0.1097525,0.74774563,b
165,2.8155012,-0.113497466,a
166,2.9984014,0.18372688,b
167,-1.6772577,0.7075,a
168,-0.19027033,-0.38011006,b
169,3.0087378,-2.4033747,b
170,3.7042103,-0.47040465,a
171,1.7074214,-1.7968887,b
172,1.7429698,0.24333443,c
173,1.4617141,-0.8112675,a
174,0.6295707,1.5774891,b
175,-0.37019074,-1.0222659,a
176,-3.541261e-05,0.47587168,c
177,2.5627623,-1.3230667,a
178,0.4802088,0.7419579,b
179,-1.5880194,-0.91007054,a
180,-3.569489,-0.58110225,a
181,-3.3818092,0.22410621,a
182,1.1589044,0.56385833,b
183,1.2704159,-0.83869874,b
184,2.1529617,0.038094506,b
185,2.135768,-0.7989023,a
186,2.6608453,-1.1178709,a
187,1.3178395,1.2947482,a
188,-0.48689836,-2.9624887,a
189,0.70535654,1.379927,c
190,5.51193,-0.0028420985,b
191,-0.6880104,1.2196813,a
192,-0.6915014,-0.8582419,b
193,-1.3174422,-0.9276341,a
194,-2.250876,1.2210087,b
195,0.12008277,-0.48628506,b
196,0.673247,1.4256384,c
197,1.5578011,1.0150027,b
198,-3.1557693,-1.6273168,c
199,2.6287518,-0.7488618,a
200,3.4302409,-0.07321063,b
201,-0.32140264,-0.34164724,b
202,-0.74730664,-1.3267597,c
203,0.3806449,-0.7140734,a
204,2.3446298,2.2217762,a
205,0.8808315,1.7103765,b
206,0.5974067,-0.25883505,a
207,0.67741364,-1.5480117,a
208,0.22865345,-1.0427502,b
209,-1.3938557,0.0057007074,a
210,4.745123,0.20714413,c
211,-3.0137134,0.7625805,b
212,1.6584268,1.923634,a
213,0.6562104,0.77887475,a
214,3.1345496,-1.4644009,a
215,2.5635543,-1.2377037,c
216,0.9482541,-0.28910303,c
217,-1.1379602,-0.20218126,c
218,-6.4250517,0.38990074,c
219,1.406025,1.8393406,b
220,0.565799,-1.6529455,b
221,-3.2803564,1.1540531,a
222,-0.5500136,0.5044534,a
223,0.20686682,-0.21569344,a
224,-1.1847378,-0.7949594,a
225,4.0413895,-1.0478776,c
226,2.19109,-1.7186015,b
227,1.4026209,0.7802026,b
228,1.9113868,0.032948688,b
229,-0.5850972,0.7967917,b
230,0.96650034,1.5297583,a
231,-0.33872658,0.9159037,a
232,-1.5734452,-0.5203829,b
233,-1.5163702,-0.036993578,b
234,-1.1641524,1.8434902,a
235,1.9565961,0.9876963,a
236,-0.277783,0.03957949,a
237,3.794213,0.9609895,b
238,3.3176312,-1.599161,a
239,0.32090938,-0.6303266,c
240,1.228775,0.1119952,a
241,-3.1359334,1.0127484,c
242,0.029281616,0.81691444,a
243,-1.8572478,0.7925823,b
244,2.400418,0.91984355,c
245,-4.4198503,-0.3721171,c
246,-2.42479,-1.3909854,b
247,-0.28550455,-0.6630914,a
248,0.3891705,-0.2614879,b
249,-2.2639794,-2.7653413,b
250,-0.7192141,0.8543912,c
251,2.5614061,0.35735524,a
252,1.2283127,0.17372054,b
253,-5.08121,1.7357005,c
254,0.008686602,-1.9760653,a
255,-2.2442923,-0.9791992,c
256,2.138545,-0.5225277,a
257,-0.12247193,0.9063151,a
258,-0.12925005,-0.09107426,b
259,0.5793594,1.774844,b
260,0.84854233,1.3957994,a
261,0.5796355,1.6701314,c
262,1.3346936,-0.012953073,a
263,5.1075597,0.20322776,b
264,-0.20222908,-1.52043,b
265,1.387453,-0.12140691,b
266,3.3627515,-0.60324955,a
267,-1.8597144,-1.3906246,a
268,1.0170946,-1.9732724,a
269,0.847117,-0.12583902,a
270,1.8464926,0.3785741,a
271,0.3138501,0.4806162,b
272,3.2244282,1.6958649,b
273,-1.0431421,1.6833043,a
274,1.5384206,0.4416243,b
275,-1.4021869,1.6772252,a
276,0.45166796,-0.5064857,b
277,6.515852,1.413899,c
278,-2.4766922,0.33936465,a
279,1.2134128,-0.9701048,a
280,-0.22385386,0.82741964,a
281,1.3883026,-1.3912517,c
282,3.3113122,-1.6405452,a
283,-1.1004109,0.11390736,b
284,1.7583522,-1.9376479,c
285,-1.6325126,-0.96303165,c
286,-0.3509338,-2.3110733,b
287,0.034579694,-0.9066019,a
288,2.1814635,-0.70835006,a
289,-1.3204283,0.3354041,c
290,-0.5653875,-0.8058206,c
291,1.0268676,-1.3551,a
292,1.0352495,-0.85866344,b
293,0.6328974,-0.09361708,a
294,-0.6360108,0.6469769,c
295,-3.522546,-1.1007093,b
296,-4.5953445,-0.37789002,b
297,1.9005502,-0.7967856,b
298,1.0219085,-1.4866536,b
299,-1.0315298,-0.54492843,b
300,1.757871,1.5854692,a
301,0.6369875,-1.3666908,a
302,2.1140935,0.6521179,c
303,6.846671,2.816143,c
304,0.33190715,-1.8729955,a
305,1.9719043,0.76929605,b
306,-1.015945,1.1634296,c
307,0.031588256,-0.19917169,a
308,-4.0691237,-1.0312109,b
309,3.645552,2.083475,c
310,1.3144325,1.2830611,b
311,-1.0164111,-2.1742146,c
312,0.5911815,1.83371,c
313,-1.875089,0.34162933,a
314,3.922481,1.270206,a
315,0.5874454,0.10165941,b
316,2.7207122,1.090428,c
317,-3.107192,0.8892516,c
318,0.50512755,1.8942506,b
319,1.9611418,0.08258754,b
320,-0.020948276,-0.2735017,c
321,-0.5162424,0.99646163,b
322,-2.2812297,0.95556515,c
323,3.1074753,-0.4248002,b
324,-1.7244018,-0.07902238,b
325,1.1313977,2.5204744,b
326,0.8935343,-0.8458172,a
327,2.0287766,-0.07236466,b
328,1.0876048,1.2069439,a
329,-3.4166896,-1.3332921,b
330,-2.1268349,0.87404317,c
331,-1.2009325,-0.5612141,a
332,0.7094743,1.0496764,b
333,2.1050088,-0.6791681,a
334,0.18024491,-1.0715504,a
335,0.6031233,-0.25492108,a
336,2.1219854,-1.4817884,b
337,-0.20769045,-0.7932936,a
338,-1.674711,0.32722664,a
339,1.9761033,1.0143464,c
340,-1.2008474,0.7490231,b
341,1.6184682,-1.4962257,a
342,0.92342997,-0.07795693,c
343,0.3503096,0.96633947,b
344,-0.45100835,-0.74116874,b
345,-0.5107478,-0.11351021,c
346,-1.469619,1.6607937,b
347,-0.88324416,-2.3303099,b
348,-3.7717113,0.52848816,b
349,1.9151735,1.451685,b
350,2.3088279,-2.2279398,a
351,-0.6182109,-1.7692928,a
352,1.3044021,0.074986026,b
353,-1.4034926,-0.94456184,a
354,3.4435558,0.6973114,a
355,-0.3760171,-1.5830976,a
356,-0.69202673,0.21044901,b
357,0.10196438,0.62370425,b
358,0.88043416,-0.94635606,b
359,1.0692642,-0.41616112,c
360,2.5545518,0.38574266,b
361,0.805658,-0.78120303,a
362,0.27521142,-1.4437823,b
363,-0.6316067,-0.17007962,b
364,1.395814,0.64918387,a
365,0.6324632,-1.5034877,b
366,0.014032371,1.3284621,c
367,1.976665,-0.65391135,a
368,2.0058985,-0.6675037,b
369,2.3424745,2.4983866,a
370,-0.9177705,2.049372,a
371,-1.288943,1.4697521,a
372,-1.7732613,-0.6081269,b
373,0.66098154,0.092765845,a
374,0.37596095,-0.6540266,a
375,-0.2789731,3.0101993,a
376,2.1719003,-0.2641955,a
377,-2.3012376,1.0603659,b
378,-0.24039808,0.124309905,a
379,-5.252764,1.0858326,b
380,1.3176656,-0.17706132,b
381,-0.5778576,-1.1408259,a
382,2.1101494,-0.47887954,b
383,0.64754796,-0.9972539,a
384,-2.4469914,-0.2712121,a
385,-2.47191,0.18642926,a
386,0.6711359,1.1151944,b
387,0.2036885,-1.0572463,b
388,-0.5989024,-1.5618875,a
389,3.0347056,-0.45716998,a
390,0.5034934,1.8375252,a
391,1.1165179,2.3727136,c
392,-0.6554785,-0.8730618,a
393,0.55045915,-0.25909802,b
394,-0.31773186,-0.8934449,a
395,2.5875878,1.0699112,a
396,1.8175979,0.74374217,c
397,1.4096464,-0.26850992,a
398,1.4469023,0.5528247,b
399,-0.2003007,0.42952228,c
400,-0.6169798,2.0518625,a
401,-1.186526,1.0831926,c
402,0.62721395,0.82205594,b
403,-0.049801875,0.5119146,c
404,2.7607927,1.268368,a
405,3.2655177,-0.25581825,c
406,0.29137647,-0.7993603,a
407,-1.1650333,-0.25079906,a
408,0.5252279,-1.0263109,b
409,0.26324356,1.5772785,a
410,1.2190428,-1.2832222,a
411,-0.110847384,-0.08369745,a
412,3.1735368,-0.6819284,a
413,-0.86484647,0.97979057,a
414,0.32641196,-1.8894712,a
415,-1.078274,-0.72424555,b
416,-2.894655,0.18532093,b
417,1.4472817,-0.33291408,b
418,-1.1589555,-1.4347886,b
419,-0.1111843,0.89274824,a
