,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,class
0,0.14686763,-1.1546245,-0.5965949,-1.0644692,-1.8469723,-0.6228608,1.5772938,-1.5318487,0.97939837,-0.22013983,1.5812562,True
1,1.7214359,1.0687771,-0.41994256,-1.2340488,-0.9129896,-0.8068514,0.12719777,-0.1383211,0.1558217,0.09821281,1.472364,True
2,0.2624598,-0.96460354,-0.034446165,2.0394924,0.09024146,-0.63878036,-0.36693686,1.6911645,-2.0685413,0.9500706,-0.51483655,False
3,-0.874579,1.0325798,-1.6114832,0.014351696,0.7145143,-0.82855135,0.45018354,1.564774,0.3420734,-0.4691521,0.96992487,False
4,1.1267993,1.2984792,0.34966803,-0.9846568,-0.09616251,-1.1293664,-0.60205555,0.750391,-0.86683124,-0.25418448,-0.03887278,False
5,-0.41794473,0.3502004,1.2131318,-0.6812527,-0.42462653,0.2408449,0.042340517,-0.82925403,-0.27778378,0.9075891,-1.4152642,True
6,0.17671013,-0.23973088,1.5883859,-0.014644794,-0.35282716,2.210017,0.15081605,0.6402033,0.3331115,-0.26101148,-1.2611108,False
7,0.5334163,1.3361194,0.50820786,2.1367536,0.22323832,0.48064756,-0.1355018,1.1576288,-0.13635065,1.0516803,0.90782744,True
8,-0.23403513,0.5880326,1.1656464,-0.07630893,1.4846973,0.6527083,0.5471377,-0.35958338,-0.9031444,0.48353612,-1.0790212,True
9,-0.22790685,-0.027881905,-0.15202965,1.1049922,1.758091,1.298486,-0.37371826,-0.73840696,0.37026176,0.56626564,0.56049013,False
10,-0.45899573,0.6603986,1.6131436,-0.19381997,-0.52079517,0.3183564,0.49163795,-0.9363506,-0.108037025,-1.024674,0.24884892,True
11,0.37071818,-0.6392089,-0.4223582,-1.4933683,-1.1597965,-0.10201389,-0.8509507,0.16349985,-0.8403918,-1.9121065,-0.48772752,False
12,2.4922066,2.1525612,1.249961,0.3264584,-0.8593904,-2.5974603,-0.95848954,-0.56093866,-0.5511639,1.4265772,-1.4171798,False
13,-0.06457827,-3.383045,-0.25668192,0.48460984,-1.2448897,-1.6567976,-0.13752177,0.973307,-0.078312784,-1.5001869,-1.2586533,False
14,0.43333128,-0.6588496,-0.5706843,0.15662566,0.59080654,1.4363289,0.851634,-0.35996673,-0.6584152,0.6106533,0.2630691,True
15,-1.3353616,-0.24910292,0.719782,-0.019267194,0.25577915,1.9747474,-0.17036206,-0.677224,1.4478524,0.8105791,0.25378048,True
16,-1.8411113,0.43369696,-1.8505465,-0.22192627,-0.46816248,-0.10547845,0.025196224,1.1929522,-1.8645993,0.12397733,0.45427352,True
17,0.8013665,1.0522137,-0.53991127,0.26096153,1.4277389,-0.16298993,-0.1808272,0.22357401,-0.21582255,-0.21231535,-0.8126408,False
18,0.036114708,0.55274403,-1.1244524,0.57665986,1.7219844,-0.0028721355,-0.3700682,-1.3137599,0.641464,-0.77250516,0.8896561,True
19,-0.58125913,-0.004154876,-0.7405726,0.509117,-0.41311336,1.9299967,0.44237882,-1.1065457,1.0868341,-1.0946699,1.1873777,False
20,-2.7310393,3.1071575,-2.350839,-0.9283134,-0.88415307,-0.86097825,-2.156457,-1.2448936,1.3576542,-0.9297058,-0.6529976,True
21,-0.2416512,-0.15032272,-1.4315089,-1.5904485,-1.2013249,0.07496503,0.6107386,0.19010596,-1.2289227,-0.4187568,0.07389498,False
22,-1.2130054,-0.72406423,-0.262617,0.41804147,0.037843123,0.665586,-0.61376894,0.7162708,-0.14009152,-1.4261544,0.589566,False
23,0.53709525,-0.99828494,-0.0032941028,0.8101808,-1.7785673,0.17648557,0.24199888,-0.057881743,0.044847682,-0.6221018,0.79711217,False
24,-0.61807895,-1.3484461,0.1690604,-0.9812151,-0.38825655,-0.396869,0.7498226,0.28015023,1.6823267,-2.8962376,-0.68719494,True
25,-0.92336285,0.11668095,0.33820292,0.48404288,0.58223504,0.62988114,0.030509263,0.7633717,0.47790092,-0.5493295,0.49407953,True
26,0.689983,0.55100155,0.28003275,1.2152975,0.13878295,-1.3182256,0.27588332,-0.07957128,0.5555931,1.3315382,-0.6459864,False
27,1.1532857,-0.47759098,0.70504916,-1.5043929,0.583228,0.03845431,1.3831767,-0.59512055,1.8241444,-0.6449653,-0.24509329,False
28,-0.18175301,0.714776,0.22601551,-0.6202284,-2.527795,-0.535074,-1.3971345,-1.4418725,-0.563313,0.39176396,-0.53170115,True
29,-0.38276184,0.5620754,-1.9861991,-0.6229669,-1.0845044,0.10376349,0.23033978,0.51704025,2.0649946,-1.7263938,-0.77158046,False
30,-0.09310319,0.34430915,-0.2665934,0.5772208,-1.2920214,-0.45132682,-1.2999504,-1.217254,0.48629335,0.058925748,2.3658056,True
31,-2.2412775,0.2876167,0.3723179,-1.3623013,-1.1029391,0.44760573,0.07849684,0.048787892,-0.74157274,0.11076057,-0.4610491,False
32,-0.66493857,0.23662457,0.3289106,-1.1820041,-0.378568,-1.0658927,0.34784693,1.1212966,-1.2550918,0.9277053,0.7100763,True
33,-1.4636558,-0.89413834,1.518617,-1.3080705,0.712254,0.7796347,0.46332055,0.7204001,-0.029941697,0.06300919,-1.3351157,True
34,-0.20560387,-0.70672375,0.04693666,-1.0070591,-0.08641551,0.0745116,-0.51524526,0.66012025,-0.8540622,0.5610416,-0.22557887,False
35,1.3650887,-1.3069159,1.3105273,0.15225512,0.057763577,0.13658261,-0.3695357,0.5396597,-1.0475436,0.006474659,-0.30039096,True
36,-0.592662,-0.09231025,-1.6499957,-1.1887553,-0.118378416,-1.6216513,-1.5386875,-1.061307,0.6299784,0.833012,-0.34486023,False
37,1.3765774,0.094697736,0.29389644,-0.6005692,0.59443057,-0.23720887,0.5697689,-1.1762795,0.13685746,-0.16429895,1.6717172,True
38,0.6629591,0.44648802,-0.91684175,1.1762,-0.23122981,-0.92503136,-0.4541198,-1.6403763,-1.225361,0.22640842,-1.2933336,False
39,-0.13818805,-0.6495441,2.1101618,0.84312785,-0.7971161,0.75784653,1.9350126,-0.71151143,1.0471278,0.57294905,-0.6762392,False
40,-0.7584573,-0.32014155,0.23993394,0.50666386,0.17703877,0.54743063,0.63237524,1.5925378,-1.7001922,-1.8379788,-0.24800557,False
41,0.12986906,0.15255171,0.6174519,-1.158143,0.14155264,-1.0746351,-1.1451771,-2.4073648,0.925939,0.87752956,0.23241395,False
42,0.19178799,-0.18616796,-0.4512626,0.56012964,-0.04694607,0.22546785,0.74481,1.2781792,-0.20558695,0.10032843,-1.229572,True
43,-0.23637863,-0.7560911,0.9912657,0.7166699,-1.5996886,-1.8225276,-0.6279056,0.14462788,2.6379957,1.0635283,-1.4989963,False
