,P1,P5p1,P6p2,P11p4,P14p9,P15p1,P15p3,P16p2,P18p2,P27p4,H2p2,H8p2,H10p1,H13p1,H18pA,H40p4,class
0,-1.5870762,-0.1236732,-1.2404419,-0.030496031,0.5235221,-0.43020192,-0.15802142,-0.19714531,-1.5942788,-0.61087793,0.5870383,-0.4879741,1.578331,-0.44208878,0.2928416,0.6138513,P
1,0.08071606,-0.7176318,0.43205154,0.08084309,0.5513623,-0.0329387,-0.2415993,-0.3988454,-0.6003686,-0.7414225,-0.324264,-0.71591496,0.5196819,-0.31748107,0.25931764,0.81133854,N
2,1.2997744,-0.32376504,0.16091296,1.1182939,0.9889159,-1.3364176,1.6676987,-0.45345944,0.069851756,0.6650864,1.55132,-0.11269766,0.8361677,1.1108344,-0.6296944,-0.7491469,P
3,-0.36556825,-1.8762696,-0.57225025,0.8959133,0.9527664,0.6765977,-0.46357414,-0.38020045,-0.12645218,-2.0324345,-0.327425,-1.0189716,1.3171675,1.353462,-1.2145686,0.64029044,P
4,-1.9137819,1.4901893,0.943346,-0.26815647,0.7167194,-0.054491587,0.5551519,0.78409183,0.7012076,-0.5059746,-1.3163676,0.52609897,1.1285542,-0.48221827,2.495638,1.3000911,P
5,1.9301862,-1.7686696,1.162505,0.059990883,2.1041782,-2.2801473,0.39269197,-1.0740896,-0.29563197,0.18873617,0.42867967,0.4231084,-0.36663842,-0.41538465,-0.8032909,-0.2428039,N
6,-0.25806114,-1.035752,0.083929986,-1.735848,0.07356618,1.6640403,0.95848936,2.2286727,-1.1197889,0.9285475,-0.3333943,0.87292325,-2.830403,0.5965113,0.49353424,-0.15043736,P
7,-0.7502882,1.1781156,-0.38502133,0.13565445,0.7736508,0.98282844,0.31723994,0.07229241,1.7004836,-0.34490538,-2.6554122,-0.48527288,-1.6347629,-0.30237716,0.4247264,-1.0093818,P
8,-1.5954971,-1.2857337,-0.6188618,-0.46896738,0.21517567,0.32940328,0.6769803,0.8630954,-0.98247474,-1.630847,0.36744618,-1.7208961,-0.14691596,0.5012265,1.0023723,1.1919539,N
9,2.665845,-0.25939563,-0.3254121,-0.34386426,-1.416134,-1.0001938,0.7329751,-0.4199442,1.7590492,0.34499347,0.96359336,-0.14420524,-1.3889946,0.22806802,0.07027376,0.47311306,N
10,0.98030066,0.7878841,0.31627542,0.33788624,0.68127537,0.1292571,-0.35636055,0.40986234,-0.25053334,-0.9433448,0.16493753,-0.1401822,0.39506236,-0.005086571,0.5174117,0.40879202,P
11,-0.24663118,-0.31383792,-0.24394964,0.04033778,-0.44196194,0.1581118,-1.3833584,1.0033008,-0.07503247,1.3418045,1.0671211,0.009501427,0.3713217,-1.1170424,0.5687495,-0.466085,P
12,-1.3822904,2.157749,0.7986633,0.5089089,0.9760619,0.27654618,0.94974524,-1.0729582,0.19792575,-1.8028477,1.6569482,-0.26240644,1.6708336,1.0870321,0.8779692,-0.085379094,N
13,0.13921826,0.48006704,-0.11349233,0.24135613,0.7881301,-1.7362267,0.29163638,-0.6404827,-1.3419783,-0.5451203,-0.3639916,0.508894,1.3767191,0.089348584,0.32107267,1.1638052,P
14,1.0915557,0.89377356,-1.0746452,1.308352,0.3221224,-0.836338,-0.6992128,-0.9636938,1.8196858,0.5948046,-0.53909814,-0.28340414,1.1249841,0.80857825,0.5440606,-1.1359802,N
15,-1.280981,0.54936826,-0.956464,-0.41301298,-1.5346204,0.8062866,-0.23226348,1.7618172,-0.6517798,0.005382374,0.5293709,-0.85247606,-0.7668262,-0.42493,0.7038162,-0.8366266,N
16,-0.97320896,-1.6613345,2.63658,1.26505,1.0050939,1.2313795,0.43168724,-0.4369162,-0.31041536,0.64949185,-1.8080585,1.6513503,-0.2263928,-0.6324644,-0.35136068,1.1332628,N
17,-1.1985117,-0.9062884,0.19813699,1.3491544,-0.8474984,-1.9949224,0.34376848,-0.8501669,1.1813653,1.0613077,-0.0009259619,1.3132073,-0.55145264,-1.3391871,-1.0926123,-0.22484991,P
18,-0.62697875,-0.9464007,-1.5891356,-1.381175,-0.8006772,-1.6497339,1.2771962,-0.9634036,-0.19583207,0.5323132,0.106776655,0.26242283,1.0189133,0.67485696,-1.390322,-0.5799609,N
19,-0.76374745,-0.53476197,0.42455465,0.58858556,0.3279954,1.9956045,0.1786767,2.2228012,1.4355701,-0.40775687,-1.5130111,0.8478552,-1.6655105,-1.8340497,0.08405504,-1.6293367,N
20,0.706619,0.37261507,-1.0365418,-0.5341761,0.041003168,1.2101133,0.33341095,2.0220842,0.31811464,0.16889319,-0.44945982,-0.9776815,1.9156536,0.5376585,-0.5543808,-0.14812033,P
21,0.47243413,0.04574853,-0.5618408,-0.45965973,-1.3638848,0.8580188,0.046123505,-1.0926387,0.2780385,-0.39711493,-0.20805192,-0.5749911,-1.2694343,-0.7369652,0.09060645,-0.25451607,N
22,-1.925074,0.027114451,1.0050327,0.22175948,0.49107894,-0.5639237,0.24825643,0.018030286,0.58091503,0.8787888,-1.2426838,1.0379193,0.37813717,-0.26515216,-2.1958451,0.7631333,P
23,-0.5693116,1.4882088,-0.85280484,-0.3132837,-0.9375638,0.4315561,0.22999008,-0.5218512,0.40562952,-0.58867925,-0.7077218,-0.45557743,0.7306355,-1.052398,-0.75808537,-1.7393358,P
24,2.5894718,0.53913987,-0.4645312,-0.20336105,-0.19490251,-0.7176057,0.21443784,0.8124715,-0.19078149,0.120187424,-0.29586083,-1.4102699,-0.2983075,-1.1805073,0.35734808,0.7952202,N
25,-0.37875795,-0.4883973,0.71308875,-0.6493178,-1.2056903,-0.17592001,-1.1388328,1.1225417,-2.2884436,-0.06151779,-0.40306357,1.0081378,-0.6006399,-1.3520812,0.45778358,1.4439113,P
26,0.5853642,-0.52756596,0.2687139,1.3917927,-0.4179319,-0.57181287,1.1842355,-0.57054466,0.19127306,0.982404,0.13529858,-0.032811284,0.7431923,-0.3470677,-0.15648797,0.40188718,P
27,-0.115633965,0.10372704,0.8785697,-0.56078845,-0.67439073,-0.15880524,-0.43115312,-0.18108514,1.2541715,0.6192759,-0.7153495,0.8995342,2.8645883,0.30562782,-0.45530576,-0.19050674,N
28,-0.1388844,-1.144697,-1.563452,-0.38295537,0.29583794,-0.88221365,1.6607873,0.04062268,0.6491612,-1.6562124,-0.4095921,-0.49986172,0.6786484,-0.028669953,0.47468776,-1.0972817,P
