,V1,V2,V3,V4,V5,class
0,-0.4969212,-0.8010299,-0.32954276,-0.33681083,0.6460576,1
1,-0.18375546,2.8693407,-1.5701063,-0.37670004,0.15853313,1
2,-0.36802027,-0.4219092,0.058202714,-0.9065678,-0.20114805,2
3,-0.24497229,-1.3145163,-0.5199677,0.64244854,2.8819308,2
4,-0.47288075,0.3564807,0.20884752,0.514866,0.61516607,1
5,-0.25064072,-1.7741067,-0.19862263,2.3238668,3.4671402,2
6,-0.31375432,-0.18235719,1.1043725,0.21859136,-0.22781093,2
7,-0.6334164,-0.48365128,-0.027060986,0.12721133,1.2842091,2
8,-0.14871949,0.602973,-0.62941945,-0.86494505,-0.8614234,1
9,-0.50856805,0.6221671,0.3519891,0.05096239,-0.80980694,1
10,2.1639247,1.224668,-1.6607645,-0.31003872,-0.378977,1
11,-0.5185373,0.48680747,0.32702124,0.72591007,-0.029745549,1
12,-0.13724887,-0.024555504,0.86612797,0.8202756,0.5021069,2
13,0.29680246,2.356735,0.61938936,-0.03358102,0.6123369,2
14,1.2733618,0.23541445,-0.9418588,-1.1627984,0.028863445,1
15,-0.6371836,0.3686061,0.44044685,-1.0631459,-0.2956653,1
16,0.041823506,0.2108956,0.12139077,1.0813067,-2.5226493,2
17,-0.21766287,1.4437295,-0.1362187,0.08433366,0.05938601,1
18,-0.3287285,-0.10348719,0.44860512,-0.34904093,-0.6662228,2
19,-0.44044787,-1.1286857,0.7069178,-1.4947944,0.031857684,2
20,0.9328799,-0.49215806,1.2075291,-0.029007271,0.20889828,2
21,0.0759421,1.0871723,-0.38042456,0.22754465,1.7550573,2
22,-0.39432326,0.81762135,-0.5849927,-0.6852914,-0.47915265,1
23,-0.08089492,-0.8028921,1.1827545,1.2164593,-0.4149477,2
24,-0.2640454,-0.27556604,0.8417549,0.25227398,-2.211721,2
25,-0.8884065,-1.2611164,0.024186432,0.7094021,-0.94857335,2
26,-1.158263,-1.5857579,-0.30133432,2.589427,0.6054378,2
27,-1.0270406,-1.0916578,-0.280285,-1.0070666,-0.19660269,2
28,-0.56006014,-0.58941126,0.8055336,0.7483029,2.0776775,2
29,0.90521026,1.1800004,-0.72178924,-0.37011284,-0.06480916,1
30,2.0937736,0.54899555,-1.9746268,-0.5072751,0.24324827,1
31,-0.7603997,-0.2209872,0.49593037,1.8734617,0.15465575,2
32,0.7626974,-0.6345154,-1.4482954,-0.6320022,0.14723969,1
33,0.6664485,0.45719865,0.9192333,0.25205344,-1.1659917,2
34,-0.3401631,0.21544725,1.8619148,-2.6721044,-0.17068769,1
35,2.395605,0.4897082,-0.84181046,0.27144122,-0.9104247,1
36,-0.88278604,-0.54610395,1.3393815,-0.9718573,-0.115862474,1
37,1.0393542,0.5899388,-0.13487685,0.05495861,0.2159566,1
38,0.83200395,-1.326073,-1.1251667,-0.19115902,-0.34932545,1
39,-0.7422328,-0.99000865,-0.9429435,0.15926313,0.8737499,1
40,-0.165737,-1.4127994,1.0981042,-0.775557,-0.2685498,2
41,-0.76295304,-0.5459458,-0.13436316,0.6895604,0.29186097,1
42,-0.41170523,0.5368817,-0.5393343,0.52870417,-0.36191916,1
43,-0.6807055,-0.9651389,-0.97668576,0.043185294,0.489098,2
44,-0.6672733,-0.22438133,-0.19291121,1.3546209,-0.73175424,2
45,-0.95597655,-0.48253095,0.93402773,-0.46886885,-0.65684605,1
46,-0.4253859,-1.3631622,-0.58663976,-0.27761453,1.2937288,2
47,2.7175455,-0.34453171,-0.7503316,0.19391221,-0.1265,1
48,-0.31112558,0.055707097,0.35441464,1.5046746,1.4452548,2
49,-0.46688357,-0.4126799,-0.16971478,0.8344492,1.4758108,2
50,-0.5001538,-1.0673366,-0.17187825,0.62737805,1.2245038,2
51,0.14943749,-1.023282,0.0019274577,-0.31660697,-0.16280921,2
52,0.6305034,1.0791595,-0.53807867,-1.4022198,0.32777062,1
53,-0.04737127,0.8536514,0.73821187,0.08256818,-0.5392516,1
54,0.3114128,4.7133427,-1.4230363,-0.43029016,-0.4812667,1
55,-0.4564797,-0.50249445,0.120161295,1.1874082,-0.85629904,2
56,0.9412515,-0.06112063,-0.92910886,-0.5609764,-0.08331019,1
57,-0.06737274,-0.31966132,0.551704,1.0076336,1.7031019,2
58,-0.60956794,0.36960673,-0.26932406,2.3324356,-1.3540183,1
59,0.272641,1.1269367,-1.1741987,0.08044955,0.34327677,1
60,0.20396501,0.6846137,1.1578128,-0.42032236,0.40448278,2
61,1.2847798,-0.10982466,-0.8236844,-0.21109731,-1.4451165,1
62,0.65940034,2.0035913,-0.08498877,-0.12203945,-0.5774884,1
