,CLG_RD,GT_RD,GT_SD,CLG,NF
Logl_mean,-1.8353844695531076,-1.8961609027609123,-1.7907150948444757,-1.8290916064207061,-1.8731585191370494
Logl_std,0.03756337088796724,0.05887192341837599,0.0,0.03763707091752433,0.050469817607752376
LoglStd_mean,0.9263461172058145,0.9658946547348465,1.0935826215206412,1.1606727057381538,1.2169029535847717
LoglStd_std,0.05063955803577075,0.1450438466795304,0.0,0.025502289381673426,0.02982922519994491
Brier_mean,0.055731241197257975,0.07430993461882629,0.017118440802941656,0.018104073569562895,0.017481293266970784
Brier_std,0.013116620526698122,0.026270530499364144,0.0,0.004741161333733136,0.004060265510523298
AUC_mean,0.9984708361021137,0.9987576690833037,0.9994651044312693,0.9993266064432222,0.9993588545156447
AUC_std,0.00024415061826382756,0.00021432029299850441,0.0,0.0004875370504326404,0.000455288978010171
Time_mean,3.212384581565857,6.771665692329407,0.0,4.211456656455994,7.366444110870361
Time_std,0.010151982307434082,1.9989644289016724,0.0,0.8278461694717407,0.3385293483734131
params,BIC,"{'lr': 0.00040535045861455206, 'weight_decay': 0.0032504722900835253, 'split_dim': 0, 'hidden_u': 4, 'layers': 3, 'n_flows': 4}","{'lr': 0.00040535045861455206, 'weight_decay': 0.0032504722900835253, 'split_dim': 0, 'hidden_u': 4, 'layers': 3, 'n_flows': 4}",BIC,"{'lr': 0.00040535045861455206, 'weight_decay': 0.0032504722900835253, 'split_dim': 0, 'hidden_u': 4, 'layers': 3, 'n_flows': 4}"
