,x,y,class
0,0.918324,0.03021483,b
1,0.004484442,-1.3100061,a
2,0.5788565,-1.0528649,c
3,0.5074669,-0.34943926,b
4,-0.09097846,-0.40497512,a
5,0.8867137,-1.8604305,a
6,0.34719902,0.2907224,a
7,-0.03872004,-0.37350398,b
8,0.3475873,0.6224769,b
9,-0.038419504,1.3642497,a
10,1.1208605,0.45704666,a
11,-0.004533366,-0.075234145,a
12,-1.2245436,-0.45890388,a
13,1.2923211,-1.5599827,a
14,-1.489352,1.2916372,a
15,1.0313761,-1.1432278,a
16,0.38718224,0.26486942,a
17,0.16813391,0.36331436,b
18,0.9068942,0.029594878,b
19,1.9510919,-0.74346894,b
20,0.42031947,0.6695158,a
21,0.5325977,-0.13274312,a
22,-0.028304398,0.8285259,b
23,-0.18534619,-0.5400835,a
24,0.64555395,-0.30281377,b
25,1.775131,-0.6980903,c
26,0.32956335,-0.38834837,b
27,0.45261806,-2.331556,b
28,-0.31869343,-0.3441374,a
29,-1.9743747,-0.6582414,a
30,1.5228598,2.4110076,c
31,0.08479993,0.8703203,a
32,0.5457475,-0.20120393,a
33,-0.38700747,-0.07074124,a
34,0.37018996,-0.08584569,a
35,-2.0137873,0.59590083,c
36,0.21633422,1.8307488,b
37,-2.243965,-1.6198058,a
38,0.03721342,0.048697367,a
39,0.80478585,-1.4372854,b
40,-1.0094773,-1.6771489,b
41,-1.5514895,0.7183081,a
42,1.1082771,0.8117857,c
43,0.50158805,3.628037,b
44,0.91357887,-0.110919274,a
45,-1.3380209,-1.1388563,b
46,-1.4946706,1.6460197,a
47,0.23400906,0.30932316,a
48,0.49952957,-1.1161778,b
49,-1.1652136,0.81054544,a
50,1.9917617,-0.2755689,a
51,-0.100970775,-1.015334,b
52,-0.46730036,-2.2154384,c
53,-0.4307718,-0.7699967,a
54,1.599333,0.20781195,b
55,-1.181095,0.0002495814,a
56,1.129461,1.1716855,c
57,1.0997338,-1.1165751,b
58,0.64255875,2.0471466,b
59,-0.7047262,-0.45897096,a
60,0.71620524,-0.47565815,c
61,0.36729994,-2.2765157,a
62,0.04727432,-1.5220994,b
63,0.7686627,1.7578131,b
64,0.15479982,-2.3989673,c
65,-1.565852,-0.8121166,a
66,-0.31452125,0.8494732,a
67,1.3225297,1.205772,c
68,-0.45448706,0.3949122,a
69,-1.1809919,2.020265,b
70,0.42164287,0.14663634,b
71,-0.12057975,0.5979559,b
72,-0.63332844,-0.21402568,b
73,1.3046731,2.494405,c
74,-0.9673606,-0.8274905,b
75,-1.5900271,0.353578,a
