,x,y,class
0,-0.14430802,-1.8416878,a
1,-0.15745246,0.087883,b
2,1.1070278,2.0061767,a
3,-0.44966018,-0.54469496,a
4,0.21741414,-0.35793957,a
5,-0.4496571,0.009848673,c
6,-0.12643941,-0.89322466,a
7,0.9315348,-0.9236774,b
8,1.2907917,-0.19929287,c
9,1.5973034,-0.86315906,a
10,0.8853034,-0.8141271,c
11,0.2502429,-0.033510096,b
12,-0.1212628,1.7364498,a
13,0.25194314,-1.3894129,b
14,2.0779269,-0.62308663,b
15,-0.7657138,-0.5396538,a
16,-0.6429363,0.97272384,c
17,-0.38861167,2.066177,b
18,-1.0001903,0.1387208,a
19,0.49315208,2.358266,a
20,0.14659786,-0.16006945,c
21,-1.4922317,0.40459433,a
22,0.51912004,0.6050847,a
23,-0.596943,-1.4999155,a
24,0.13308942,1.9234372,b
25,-0.6720497,-1.3189832,a
26,-1.2657269,0.7915249,a
27,0.053937115,0.027601948,a
28,0.24291734,0.31846398,a
29,0.8656585,-0.12934798,c
30,-0.8507339,0.11934042,a
31,-0.77872014,0.9417215,a
32,0.70280826,0.39990234,a
33,-1.1999389,1.4918772,a
34,-0.6624885,-1.4613953,b
35,0.7209439,-0.064108744,a
36,-0.32466596,1.0732256,a
37,0.39166197,0.7545872,b
38,0.14454643,-0.057439618,c
39,0.32241198,-0.14191599,a
40,-0.105092734,0.7235608,b
41,-0.723632,0.49345854,a
42,0.48180383,0.3343357,a
43,-0.56452686,0.92832214,a
44,0.49274153,-0.8777524,b
45,0.18693419,-0.48596144,c
46,-0.14514647,1.0286542,c
47,-1.1467509,0.1875028,b
48,0.87402487,1.7818099,c
49,-0.2688364,-1.5760543,a
50,-0.07880843,0.63889956,b
51,-1.8618858,0.12550558,a
52,-0.54512346,-0.6560207,b
53,-0.70146656,1.0751636,a
54,0.049955383,-0.07012983,a
55,-0.13908285,-0.56310844,b
56,1.1232308,-0.1706095,b
57,0.6663635,-0.27270502,c
58,0.22457916,-1.7391709,a
59,-0.48036572,-0.23779109,a
60,1.2228878,-0.11235689,a
61,-0.28388673,-0.40237364,c
62,1.1054544,-0.28071934,c
63,0.2566765,0.89426416,b
64,-0.90712875,0.07591674,b
65,0.69810784,0.7691246,b
66,-0.5671969,1.4346302,a
67,-0.24085793,-0.6092487,b
68,-0.45661366,1.1552452,a
69,-0.4535619,0.11270073,a
70,1.8608527,-0.27461416,b
71,-0.5012829,-0.9629947,b
72,-0.8362165,0.49937657,b
73,1.5817509,1.4901127,a
74,-1.8449581,0.35726228,a
75,-0.26495373,-0.38648912,a
76,0.7558123,-1.6952475,b
77,0.9641174,0.1546744,a
78,1.30573,0.78773487,a
79,-1.3978785,0.47001013,a
80,0.509621,-2.0472214,a
81,-1.4869368,-0.07398416,a
82,1.4076912,-1.5275974,b
83,-1.5186629,0.06041654,a
84,1.1434233,-0.34423578,a
85,-0.9306473,-0.78176296,a
86,0.48979357,-1.0466049,a
87,0.56084055,0.089429125,a
88,-0.25115657,0.7840725,b
89,0.4427734,-1.1847087,b
90,0.7741589,1.9611616,c
91,0.40131795,0.7117063,c
92,-0.19491369,0.527096,a
93,0.797075,-1.5895065,a
94,0.12049793,0.6352595,c
95,0.69772226,-0.81689996,a
96,-0.53082716,0.73667,a
97,0.5525203,-0.94961727,b
98,0.2856234,-0.99222755,c
99,1.6494433,1.4225689,b
100,-0.34732214,-1.5501951,b
101,-0.04819188,0.21050109,b
102,0.1827524,0.4279116,b
103,0.44718963,-1.095692,a
104,0.85115397,0.7681656,a
105,0.77045214,1.3110985,c
106,0.22266603,0.89656025,c
107,1.9130459,-1.0588108,b
108,-0.40547752,1.0129745,a
109,-0.5936165,0.35925865,b
110,0.27578408,-2.0684226,a
111,0.09472968,-0.8902802,a
112,0.08146094,-1.5196838,a
113,0.15024933,0.17004642,a
114,0.07745446,-1.9757097,a
115,0.884644,-0.09004749,c
116,1.2540896,0.2662786,b
117,-0.6773102,1.2261289,b
118,0.7380805,0.78180444,a
119,0.2515715,0.21765919,b
120,-0.44622034,0.0383346,a
121,-0.19770008,0.9247794,b
122,0.37500006,-0.5541909,c
123,0.8881587,-0.40744692,a
124,-1.0621269,1.1187891,a
125,1.6638708,-0.6060103,b
126,0.5308095,0.22511783,b
127,0.71519446,0.08264583,b
128,0.22168292,0.75253254,a
129,-0.50027436,1.6080419,a
130,0.34768888,-0.799126,a
131,0.60084975,1.3294783,b
