,f5,f6,f7,f8,f9,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,class
0,0.34563375,0.8396154,-0.015480459,1.9063178,0.06714073,0.86086375,0.5547094,-0.7587552,0.58591294,0.06448506,1.0272577,-1.5498059,0.16915824,-0.9103012,-2.1142638,-0.62500715,0.99523497,0.23672253,1.4808632,-1.8556249,0.98617136,0.04221776,-0.8020415,-0.35220736,0.78880835,-0.30473608,P
1,0.8400487,-0.13374051,0.37351328,-1.4817332,0.09764153,-0.36177498,-0.61173606,0.67818284,0.1460334,0.72548074,0.9395438,0.90286815,0.010957845,0.5040741,-1.4857528,-0.16681558,-0.07949889,-0.42818505,3.0240886,0.15450513,-0.7239295,1.4125906,-0.8373207,0.4331832,1.4619256,0.05684921,P
2,1.7741773,0.26127142,-0.11857653,3.258965,0.08306807,-0.71596247,-1.1365504,-1.6053363,0.043775097,0.218668,0.7368707,-0.12117621,-1.3874274,0.29783964,0.19239637,-0.47359183,-0.7927679,0.0600639,0.13664714,0.28374612,0.50017625,2.820111,0.8110368,-0.6398931,-0.52803093,0.80352443,P
3,0.011605054,-0.4514178,-0.8619419,1.6984524,0.12165442,0.10239512,-0.21548918,0.46937218,-0.32127994,2.9448388,-0.18517107,-0.3068005,-0.9450361,-0.46444008,0.74970984,0.1841791,0.28456545,-0.23192522,0.2389676,-1.2964027,0.83689034,1.0624185,0.08415222,-0.7203636,1.208214,-0.9512256,P
4,-1.0032388,0.8514491,-1.4535468,1.8926426,-1.3812544,-0.5454118,1.1030955,1.3147768,1.4993905,0.5222418,-0.41288495,-1.1977873,-0.022567123,-0.4916027,-1.5286541,0.12497819,0.4739809,-0.36190706,-3.2595594,-0.046567976,0.5983067,1.3421721,-1.06425,-0.20188552,0.7175313,0.3779556,N
5,-1.3217609,0.053887308,0.5808201,-0.7534696,0.02526012,-0.09327936,0.47792894,-0.23031038,0.12266391,-0.2611238,1.0547259,-0.51897156,-0.58610445,0.9609721,0.15287003,-0.07563227,0.7012571,-0.069808185,-1.0419902,-0.7431444,0.89760447,-0.19241886,-0.112280294,0.48208308,2.1386495,0.2683448,P
6,-1.0354906,-0.81463087,-1.7845671,3.8168867,-0.15076697,-0.86221033,-1.331438,-0.50853693,-1.2075307,-1.5801306,-0.22492933,1.3233573,0.6212638,0.103312634,1.2979827,0.3559535,-1.9513401,-1.0074781,0.013351649,0.023247063,-1.6599089,1.3724979,0.6940308,-0.025040807,-1.1728201,-0.07392831,P
7,2.1002498,1.1055284,-1.7628837,2.7947652,0.22640243,-1.298998,-2.7439492,0.3028021,-0.23985338,2.2038653,0.9276309,1.722499,0.4188399,1.5458766,-0.559875,-0.21049528,-1.1047605,-0.86874986,0.4794559,0.52603143,-0.11024651,0.48096672,-0.7404289,0.7924845,1.1565194,-0.1108634,P
8,0.6393409,-0.3976602,-1.2071989,-0.40754429,-1.4468346,0.6545004,-0.14789653,0.2421284,-1.0292253,0.84839803,-1.5610431,-0.027107924,-0.35687798,1.024067,-0.502204,0.6343982,0.28116566,-0.31461957,-0.73789465,-1.2210063,-0.5497806,-0.0784334,1.340123,-0.9575024,0.21539931,-1.7253973,P
9,-0.43855447,0.8122758,-0.9942048,-2.5096405,0.31675845,0.43086618,-0.20677388,2.3857558,0.16534463,-1.8934953,0.45658,1.668676,-0.44322127,0.33211383,1.7407148,-0.10496071,-1.3896263,-0.8607019,-0.16965407,0.6979793,0.11382595,0.96882474,-0.41543537,0.20994098,-0.7466811,-0.4653222,N
