,V1,V2,V3,V4,V5,class
0,1.772968,0.48691532,-1.0458227,-0.30804652,-0.5265735,1
1,0.01228267,0.9703701,1.5480363,0.12997833,-0.5100828,1
2,0.72828203,-0.017281935,0.982863,-1.2795868,-0.8418517,2
3,0.12991697,1.5377672,-1.621856,-0.9971623,-0.3447562,1
4,-0.9150818,-0.69104826,0.50251174,1.5715241,-1.7910314,2
5,-0.13482252,-0.16005148,0.053161748,-0.2318071,0.23336646,1
6,0.6442599,0.7973113,-0.92460394,-0.17896485,-0.44169793,1
7,-1.0551944,-0.1799258,3.803627,-2.8004966,3.2307951,2
8,-1.6257405,-0.6647966,-0.7122878,-0.90691745,-1.1578213,1
9,0.20330499,-0.4740792,-0.48165902,-0.20552343,0.2778494,1
10,-0.039144665,-0.18090627,-0.24089667,0.5130498,1.6422697,2
11,-0.2860979,-0.4062122,0.53833354,0.70590127,2.5129974,2
12,0.60873055,0.94060683,-0.25840926,0.07386468,0.6173401,1
13,-0.9206022,-0.4126276,-0.24159136,-0.011521395,0.12549326,1
14,-0.25316483,-0.2670403,0.16442212,2.068755,-1.70786,2
15,-0.7449137,-0.5234183,-0.17514053,2.0549297,0.3992721,2
16,-0.4268407,-1.4099082,-0.53344893,0.2993528,-0.45167473,2
17,-0.4971393,-0.48551655,0.032548845,0.2418097,-1.6855477,2
18,0.11846952,1.5036665,0.5532435,-0.9634851,-0.4227913,2
19,0.43436152,-0.3743333,0.5617938,1.1193224,-0.15089802,2
20,-0.065820135,-0.12741226,1.0569949,-0.14719304,-1.0562758,2
21,-0.7857858,-0.39305925,-0.41681248,0.7831089,-1.3181101,2
22,1.7200618,-0.8346311,-1.1328602,-0.536486,-0.14405549,1
23,-0.1922905,2.1985822,-1.5286984,-0.7292038,-0.77200896,1
24,-1.0040084,-1.6487234,-0.9184201,-0.84081644,-0.45887947,2
25,-1.4060584,-1.1040668,0.5854816,0.2566203,0.93126214,1
26,-0.5482552,-0.7452025,0.43762913,0.9790002,-0.05541514,2
27,-0.5423734,-0.44333166,-0.31976286,-0.6535588,1.0957097,2
28,0.2789793,0.989402,0.53721553,0.46241066,-0.073758945,2
29,0.4618922,0.33443096,0.7897549,-1.2491257,0.87028426,2
30,0.123309016,-0.17907354,0.38779423,0.8265127,1.7010543,2
31,-1.406774,-1.6174603,-0.9868252,0.076574385,0.91832733,1
32,-0.7308731,-0.75553846,-0.8014331,2.394978,-1.6909978,2
33,-0.68897974,-0.07912672,0.575379,0.765282,-0.33272564,2
34,1.9649835,-0.3810706,-0.29614282,-0.7406938,-0.056271702,1
35,-1.6707046,-0.52839184,0.21130794,0.3839507,-1.1092082,1
36,-1.1042349,-1.1040509,-1.0428157,-1.4248544,-1.9101248,2
37,0.36197895,0.5944763,-1.4410596,-0.2578293,-0.19291909,2
38,0.091722764,-0.1992068,0.58412147,1.304893,-1.4030663,2
39,-0.7321499,-0.34494445,4.2412367,-2.3976488,-1.0800557,1
40,0.4048082,1.9813212,-0.18141946,-0.37590167,-0.569059,2
41,1.1304674,-1.9133382,0.6339716,-1.1771913,0.083103865,1
42,0.20425051,-0.24545059,0.5698666,-0.057785515,-0.27014452,1
43,0.19618565,-0.50644195,0.37182936,-0.06308618,-0.10703672,2
44,-0.96338594,-2.3659,-1.1324497,1.3397352,-1.3176033,1
45,0.19901304,1.4695878,0.23298728,-1.0673951,0.50893694,1
46,-1.2184632,-0.82310253,0.11867526,-0.29324085,-1.2012905,2
47,-0.11718188,0.78673106,-0.97565544,-0.2991395,-0.21710259,1
48,-0.4050793,3.2154453,-2.006855,-0.628636,-0.25021303,1
49,1.1198326,0.841923,-1.1814487,-0.5867901,0.08894579,1
50,0.105973825,2.6286287,-0.25128448,-0.12010391,0.48032695,1
51,-0.41033673,-0.5300565,0.9352879,0.19748925,1.1807735,2
52,0.45899513,1.289301,-1.3839883,-0.30898428,-0.6833957,1
53,-0.07186589,1.0027755,-1.527806,-0.42620802,-0.2711577,1
54,0.034999043,-0.51834184,0.36651686,0.6913166,2.5990915,2
55,0.6590506,0.644663,0.5590321,-0.053968348,1.1005499,2
56,-0.93446785,4.7826505,-2.3105564,0.07176839,-0.30763066,1
57,-0.105363585,0.03373511,0.616831,-0.99209136,0.69173145,2
58,0.9492233,-0.10230403,1.0266533,0.45822048,-0.69727266,2
59,-0.08607283,0.83611715,0.37841022,0.80002743,-0.812888,2
60,-0.69128114,-0.76693386,0.14717987,0.67012125,-0.053413995,1
61,-0.30599204,-0.14745931,0.9734868,0.77544236,0.20308821,2
62,-0.26419088,-1.0377598,-0.01863122,2.1537874,2.0735245,2
63,-0.27239203,0.40413743,0.6090384,-1.0799248,-0.50458926,1
64,2.0382872,-0.10308145,-0.7689853,-0.57120913,-0.12122638,1
65,0.4603999,0.288422,1.1180313,0.16119649,-1.0898361,2
66,3.5483754,-1.8485326,-0.14872968,-0.7196177,-0.13621676,1
67,0.07244395,1.3423231,-0.42540157,-0.9943892,-0.5351364,1
68,-0.2674529,-0.5499461,0.6158856,0.7021825,0.5594317,2
69,-0.6531801,-0.7968675,-0.8396454,2.4606206,-1.4942436,2
70,-1.1147834,-1.3187166,-0.8038659,-0.36703357,-0.58738756,2
71,0.0002444312,0.61020446,-0.4409417,2.2910829,-1.362262,2
72,0.24133785,0.18479954,1.1455212,0.17623372,0.9056877,2
73,-0.58500683,-0.58767295,0.16403994,0.5810226,1.1106838,2
74,-0.63954127,0.025199056,5.620859,-2.1259272,-0.9624157,1
75,0.8465396,1.7861779,0.12932783,-0.45819855,-0.33368027,2
76,-0.3952396,-0.036106005,1.7990243,-1.5683142,-0.4726827,1
77,-0.628582,-0.35920975,-0.058100164,2.4124506,-1.0384811,2
78,-0.6060416,-0.40165314,-0.08363545,2.2638183,-0.90918183,2
79,-0.49166834,-0.10390672,0.21238008,-0.93831706,-0.4762873,1
80,-1.9168105,-0.6230992,-0.31001276,1.082367,-1.2750767,1
81,0.17666204,-0.7242287,0.8742556,0.8618083,1.0514854,2
82,0.85888404,1.4776678,-0.48138356,-0.7860394,-0.7661279,1
83,1.9497861,-0.21073946,-1.0254879,-0.67240596,-0.105810314,1
84,1.2560002,0.22519705,-0.25260723,0.22675061,-0.7946684,1
85,-0.2753699,1.1530575,-0.948341,-0.32507098,0.05675669,1
86,0.2896623,0.8699007,-1.2238129,-0.31653717,-0.038528077,1
87,-0.46307737,-0.28524643,0.7783837,-1.2489824,-0.18230669,1
88,-0.7178156,-0.5219663,-0.86170876,-0.136956,-0.18627685,2
89,1.4331026,0.53128374,-0.1172574,-0.3708432,-0.48510247,1
90,2.2315097,0.07902813,-0.80211926,-0.49328992,-0.23374477,1
91,2.737289,-0.600506,-0.6600808,-0.6000198,-0.23348853,1
92,3.232803,-1.3005135,-0.75358653,-0.04806139,-0.5180255,1
93,-0.514264,-0.6150453,1.5945417,-1.184148,0.47524014,2
94,-0.787124,-0.6435266,0.41971275,1.2655755,-1.1033185,1
95,-0.8370586,-1.0848507,-0.5295382,0.542044,2.3980463,1
