,V1,V2,V3,V4,V5,class
0,-0.04822967,-0.16482729,1.3566397,1.0867665,0.9873659,2
1,0.36960563,0.95827395,0.30077577,-0.41615307,0.49606293,2
2,1.2848742,1.4222735,-1.1112114,-0.9278219,-0.23233142,1
3,2.1121767,0.6057242,-0.9724201,-0.7518772,-0.33106223,1
4,-0.32663938,0.28510314,-0.22246462,0.53955615,-0.33097732,2
5,-0.2316929,-0.86109173,0.19101787,2.1863947,-2.7031438,2
6,-0.15042086,0.40081975,0.65641177,0.43069726,1.6507514,2
7,0.51217914,2.9577215,-2.154288,-0.2645331,-0.47540322,1
8,-0.7404527,0.06834781,1.4014049,-1.337536,-0.95001066,1
9,-0.42027193,-0.68558115,-0.8379812,1.2507775,2.0189373,2
10,0.029810108,0.8964163,2.0268357,-1.0000937,-1.3362899,2
11,1.2188088,0.076295875,-0.79753816,-0.3999409,0.24541053,1
12,-0.76464015,-0.609876,2.4519823,-2.3919594,1.2612516,1
13,-0.5324167,0.0038645267,0.50694,2.1018362,-0.89063525,2
14,-0.5632111,-0.63982224,-0.45065838,0.90624243,-1.4586535,2
15,0.19508103,1.4900689,0.7015151,0.43474114,0.855873,2
16,-1.0514047,0.2913034,0.7282767,0.07893431,-0.68999237,1
17,-0.15473379,0.60751665,-0.10272297,0.16172445,0.43311465,1
18,-0.6618727,-0.61217606,1.4569981,1.299628,-1.2008939,1
19,0.38335866,0.1730096,0.59711266,0.14983058,0.866745,2
20,0.088457964,0.2022965,1.118514,-1.6410749,-0.059013017,2
21,2.5366259,0.53322744,-1.2938799,-0.3063904,-0.29387426,1
22,0.22489698,1.5017292,0.44874084,0.05144131,1.3542241,1
23,-0.23347764,0.25785816,0.5962695,0.94326794,-1.2861438,1
24,-0.72707456,-0.10107517,-0.713186,0.1648019,0.41582024,2
25,1.8246671,-0.76660156,-1.4216576,-0.57477987,-0.14065757,1
26,0.04985772,1.2017862,-1.5222114,-0.3300219,0.37184116,1
27,-0.050587043,0.15847808,0.6901437,0.76961064,-0.52333003,2
28,0.53050095,1.4664792,-0.7034106,-0.004625559,0.3492577,2
29,0.5519051,0.82529736,-0.5938575,-0.041759253,1.7829039,1
30,-0.7494341,-0.8375839,-0.37585422,0.76588786,0.2717129,2
31,-0.52745414,0.39852023,1.0642112,-1.2579424,-0.4325673,1
32,-0.9275984,-0.597667,-0.7219322,-1.1661888,0.057256244,2
33,-0.3672328,1.4414093,-1.7712731,-0.09837343,-0.11309089,1
34,0.21333021,0.40452546,1.3248551,-1.2642955,0.7824194,1
35,-0.7214658,-0.19447571,-0.038970277,-1.5176017,1.284087,2
36,-0.36728203,1.8528818,-2.6378503,-0.7231159,-0.39235055,1
37,0.04515387,1.6062584,-1.6106167,-0.40578762,-0.28395927,2
38,2.2557514,0.6786884,-1.0906693,-0.342402,-0.15091687,1
39,-1.3678473,-1.5316503,0.15430018,0.30725634,0.44165367,1
40,0.7427775,-1.4242876,-1.5064114,-0.5500097,-0.37563384,1
41,0.083860114,-0.41261196,0.7381364,1.5447174,-0.08535941,2
42,-0.9274471,-0.97778565,-1.6860424,1.2658883,0.082433335,2
43,2.6007,0.7708427,-0.46680903,0.16734764,0.8296485,1
44,3.2123215,-0.29262766,-0.36023983,-0.18925413,-0.32979167,1
45,-0.3923219,-0.30619726,0.38511747,1.1316895,-0.19310988,2
46,0.7142817,1.2002505,-0.40604067,-0.84452057,-0.38515624,2
47,1.3152151,0.10548006,-1.1263793,-0.46311823,-0.2042098,1
48,0.09319382,0.5245862,0.97274256,0.49854797,0.25755805,2
49,1.7581825,-1.1364584,-1.1276153,-0.5826369,-0.106455415,1
50,0.7845677,-0.4109731,-0.15980548,0.4309944,-0.6858885,1
51,-0.44335508,-1.1111072,0.83468246,0.7442868,-0.68241453,2
52,-0.83547074,-0.03530073,0.62135303,-1.3026903,-0.36330763,1
53,-0.6388739,-0.17947334,1.5865161,-1.6779712,0.9616792,2
54,0.51704097,-0.017531633,0.47527966,1.2847046,3.1183476,1
55,-0.9749449,0.6854532,-0.2065666,0.19179636,0.25026822,1
56,-0.66390073,-0.19492438,-0.61945415,-0.27335513,-0.5971585,1
57,-0.087319314,0.31727004,0.5391083,-0.57753825,-0.07865612,2
58,-0.063486844,-1.0182701,-1.2323511,-0.5772829,-0.4544567,1
59,0.7080667,0.77199465,0.75937915,-0.95966905,0.060500056,2
60,-0.35616103,0.95616126,0.5680225,0.231962,0.7621881,2
61,-0.52295357,0.11732674,0.9756746,0.40747797,-0.6151812,2
62,3.178651,-1.5360873,-0.69210804,-0.4523185,-0.16144541,1
63,-0.41368818,-0.1265955,0.72876096,1.4442563,-1.2124736,2
64,1.5617851,0.74023473,-0.6709985,-0.24373478,-0.8137921,1
65,0.2317906,0.44520238,-0.9713131,-0.4996909,0.005833164,1
66,-0.67704517,-0.5900038,0.50818753,0.4874937,0.06128379,2
67,0.5850865,1.161561,-0.9694489,-0.26158518,-0.07100476,1
68,0.57917565,0.47613153,0.7800671,0.86356443,-1.1001574,1
69,-0.43478397,-0.8235603,-0.50081724,0.952814,-1.0456827,2
70,1.4383727,1.5016584,0.20766145,-1.1789706,-0.80144775,2
71,-0.6108207,0.090142965,0.04214117,0.28805512,-0.5274781,2
72,-0.4369421,-0.13408354,0.87235296,0.65620077,0.10742824,2
73,-0.4785754,1.5866127,-0.6727955,0.9397539,-1.5319207,1
74,-0.30279422,-0.3007068,0.30659777,1.3702729,2.166765,2
